Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Universitätsstrasse 110,8006,Zürich,1,19,1300
Sophie Taeuber-Strasse 10,8050,Zürich,4.5,126,3080
Wartauweg 20,8049,Zürich,3,75,1800
Universitätstr. 73,8006,Zürich,1,28,1270
Güetliweg 5,8050,Zürich,2,47,1425
Badenerstrasse 434,8004,Zürich,2,58,1925
Frohburgstrasse,8006,Zürich,2.5,60,2570
Langwiesstrasse 3,8050,Zürich,1.5,36,1820
Freiestrasse 150,8032,Zürich,1.5,55,2350
Wallisellenstrasse 333,8050,Zürich,2.5,80,2220
Bienenstrasse,8004,Zürich,2.5,72,2530
Schönleinstrasse 16,8032,Zürich,2,25,1420
Fritz Fleiner-Weg 9,8044,Zürich,2.5,72,3210
Bernerstrasse Nord 230,8064,Zürich,3.5,70,2170
Spirgartenstrasse 25,8048,Zürich,3.5,87,2950
,8001,Zürich,2.5,60,2500
Stapferstr. 21,8006,Zürich,3.5,84,4000
Langgrütstrasse 173,8047,Zürich,3,66,1955
Elsastrasse 15,8004,Zürich,2.5,,3170
Luegislandstrasse,8051,Zürich,3,,1698
Titlisstrasse,8032,Zürich,2.5,47,1820
Heinrichstrasse 95,8005,Zürich,4,80,1976
Sihlhallenstrasse 11,8004,Zürich,2.5,52,1971
30 Aprikosenstrasse,8051,Zürich,2.5,,1780
Werdgässchen 25,8004,Zürich,2,45,2190
Gasometerstrasse 26,8005,Zürich,3,76,2650
Hochfarbstrasse 14,8006,Zürich,2,48,2590
Hochfarbstrasse 14,8006,Zürich,2,38,2450
,8032,Zürich,3,60,2240
Karstlernstrasse 14,8048,Zürich,1,34,1370
Ruedi Walter-Str. 4,8050,Zürich,4.5,114,2820
Freyastasse,8004,Zürich,1,30,1090
Höschgasse 44,8008,Zürich,3.5,65,2780
Querstrasse 7,8050,Zürich,3,65,2550
Waffenplatzstrasse 67,8002,Zürich,3,70,2500
Wettingerwies 7,8001,Zürich,1.5,29,1680
Hofstrasse 24,8032,Zürich,3,80,3920
Albertstrasse 9,8005,Zürich,3.5,75,2500
Calandastrasse 13,8048,Zürich,4,,2289
Herbstweg 74,8050,Zürich,3,67,1855
Seefeldstrasse,8008,Zürich,2.5,60,2700
Brauerstrasse 27,8004,Zürich,1,35,1557
Eidmattstrasse 17,8032,Zürich,2.5,52,2000
Schoffelgasse 4,8001,Zürich,2,36,1680
Trottenstrasse 73,8037,Zürich,2.5,48,1730
Ausserdorfstrasse 48,8052,Zürich,3.5,86,2540
Freihofstrasse 1,8048,Zürich,1,23,1250
Pfingstweidstrasse 106a,8005,Zürich,2.5,104,3550
Stettbacherrain 16,8051,Zürich,4.5,89,1800
Stettbacherrain 12,8051,Zürich,5.5,,2090
Ottikerstrasse 11,8006,Zürich,4,125,4990
Ottikerstrasse 11,8006,Zürich,1.5,52,2610
Nordstrasse 290,8037,Zürich,4.5,70,2950
Friesstrasse 14,8050,Zürich,3.5,74,2100
Hüttisstr. 6,8050,Zürich,2.5,69,1989
Dohlenweg 30,8050,Zürich,1.5,35,1470
Tuchmacherstrasse 72,8041,Zürich,3.5,100,3080
triemlistrasse 85,8047,Zürich,3,,1687
Im Sträler 26,8047,Zürich,3,75,2490
Döltschiweg 23,8055,Zürich,4.5,123,4470
auwiesenstrasse 86,8050,Zürich,1.5,,1310
,8047,Zürich,1.5,,1325
Spitalgasse,8001,Zürich,2.5,,2437
GOLDBRUNNENSTRASSE 139,8003,Zürich,1.5,,1590
Ueberlandstrasse 375,8051,Zürich,3.5,66,1750
Brauerstrasse 27,8004,Zürich,1,33,1390
Neugasse,8005,Zürich,3,50,2800
,8049,Zürich,4.5,85,3160
Sihlweidstrasse 10,8041,Zürich,2.5,71,1710
,8052,Zürich,3.5,85,2680
Basteiplatz,8001,Zürich,3.5,86,3384
Berninastrasse 43/47a,8057,Zürich,3.5,106,2960
Oerlikonerstrasse 85,8057,Zürich,2.5,73,3070
Himmeriweg 6,8052,Zürich,2.5,70,1990
Fellenbergstrasse 319,8047,Zürich,3.5,72,2190
Schaffhauserstrasse 475,8052,Zürich,3,71,1938
Dennlerstr. 24,8047,Zürich,4.5,94,2350
Auhofstrasse 5,8051,Zürich,2,63,1660
Bachmannweg 41,8046,Zürich,2.5,71,1830
Stadelhoferstrasse 28,8001,Zürich,6,193,15900
Käferholzstrasse 48,8057,Zürich,2.5,72,2640
Käferholzstrasse 54,8057,Zürich,4.5,111,3835
Schaffhauserstrasse,8057,Zürich,2.5,46,1990
Sihlberg,8002,Zürich,2.5,49,1395
Thujastrasse,8038,Zürich,2.5,60,1800
Wuhrstrasse,8003,Zürich,4,,2475
Affolternstrasse 115,8050,Zürich,3,83,2046
Sonnhaldenstrasse 2,8032,Zürich,3,68,2400
Luegislandstr. 169,8051,Zürich,3,66,1790
Anemonenstr. 45,8047,Zürich,3.5,94,2900
Buhnrain 4,8052,Zürich,3,70,2200
Wibichstrasse 33,8037,Zürich,2.5,73,2990
,8005,Zürich,3,58,2800
Albisstr. 29,8038,Zürich,2.5,,2000
Dennlerstr. 22,8047,Zürich,3.5,87,2180
Triemlistrasse 21,8047,Zürich,4.5,102,3200
Hohlstrasse 481a,8048,Zürich,1,64,2260
Heuelsteig 3&7,8032,Zürich,3.5,80,3610
Heuelsteig 3&7,8032,Zürich,2.5,48,2250
Heuelsteig 3&7,8032,Zürich,4.5,122,4370
Limmattalstr. 15,8049,Zürich,4.5,85,2700
Obstgartenstrasse 40,8006,Zürich,1,25,1591
Friesstrasse 26,8050,Zürich,1.5,21,1300
Hofwiesenstrasse 273,8050,Zürich,3.5,100,2282
Hungerbergstrasse 33,8046,Zürich,3,60,1811
Altwiesenstr. 91,8051,Zürich,3,64,1773
Bombachstrasse 4a-h,8049,Zürich,2.5,51,2120
Rotbuchstrasse 1,8006,Zürich,1.5,,2290
Zimmergasse 8,8008,Zürich,2.5,62,2860
Allenmoosquarier,8057,Zürich,2.5,75,2960
Arianestrasse 13,8052,Zürich,2.5,68,1817
Altwiesenstr. 95,8051,Zürich,3,64,1727
Baumackerstrasse 47,8050,Zürich,1,15,1240
,8002,Zürich,2.5,48,2540
Luegislandstr. 165,8051,Zürich,3.5,66,1790
Birmensdorferstrasse 107,8003,Zürich,3.5,75,2890
Eggbühlstrasse 18,8050,Zürich,4.5,110,3435
Minervastrasse 134,8032,Zürich,2.5,62,2640
Winterthurerstr. 344,8057,Zürich,2.5,56,1730
Schürbungert 2,8057,Zürich,2.5,55,1260
Steinhaldenstrasse,8002,Zürich,3.5,,2650
,8051,Zürich,3.5,85,1790
Granitweg 6,8006,Zürich,1,,1490
Vorhaldenstrasse 17,8049,Zürich,1.5,,1120
,8008,Zürich,3.5,80,3600
ROTBUCHSTRASSE 1,8006,Zürich,1.5,30,2150
Käferholzstrasse 42,8057,Zürich,4.5,114,3765
Bernerstrasse Nord 172,8064,Zürich,3,,2090
Max Bill Platz 5,8050,Zürich,2,122,3190
Dufourstrasse 150,8008,Zürich,2,,1700
Scheuchzerstrasse 72,8006,Zürich,3.5,115,4800
Gasometerstrasse 26,8005,Zürich,3,70,2761
Schaffhauserplatz 3,8006,Zürich,3.5,95,2800
,8004,Zürich,1.5,,1580
Balberstrasse 68,8038,Zürich,4,67,2035
Etzelstrasse 28,8038,Zürich,2.5,61,2327
Widumweg 5,8049,Zürich,3,65,1900
Uetlibergstrasse 77,8045,Zürich,2,50,2590
birmensdorferstrasse 38,8004,Zürich,3.5,70,2150
,8032,Zürich,2.5,50,1590
Zürichholzstrasse 8,8057,Zürich,2,53,2100
Hüttisstr. 8,8050,Zürich,2.5,82,2250
Fellenbergstrasse 317,8047,Zürich,4.5,92,2515
Aprikosenstr. 30,8051,Zürich,2.5,60,1800
Georg Kempf-Strasse 20,8046,Zürich,4.5,85,2450
Glatttalstrasse 58,8052,Zürich,4,82,1990
Brauerstrasse 27,8004,Zürich,1,32,1490
Wydäckerring,8047,Zürich,5.5,,
Wydäckerring,8047,Zürich,4.5,,
Wydäckerring,8047,Zürich,3.5,,
Wydäckerring,8047,Zürich,2.5,,
Wydäckerring,8047,Zürich,1.5,,
Altstetterstrasse 291,8047,Zürich,1,30,1500
