Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Schönaustrasse 51,4058,Basel,2,53,1100
Sennheimerstr. 54,4054,Basel,4.5,86,2090
Schneidergasse 21,4051,Basel,2,50,1650
Birsstr. 320,4052,Basel,5.5,196,4910
Güterstrasse 79,4053,Basel,1,43,1265
Grimselstrasse 10,4054,Basel,2,64,1054
Badenweilerstr. 28,4057,Basel,2.5,69,1590
Luzernerring 64,4056,Basel,3,75,1635
Gasstr. 4,4056,Basel,3.5,70,1750
Clarahofweg 47,4058,Basel,1,39,1310
Schorenweg 40,4058,Basel,1,32,914
Hasenberg 3,4054,Basel,2.5,65,1559
Breisacherstr. 133,4057,Basel,3,66,1490
Hebelstrasse 65,4056,Basel,3,77,1740
Gotthelfstrasse 96,4054,Basel,1,30,880
Neubadstrasse 150,4054,Basel,3.5,121,2450
Lehenmattstr. 340,4052,Basel,3,63,1430
Brombacherstrasse 4,4057,Basel,3,65,1840
Lehenmattstrasse 308,4052,Basel,3.5,88,2950
Lehenmattstrasse 308,4052,Basel,3.5,93,2130
Sempacherstrasse 12,4053,Basel,2,,1030
Adlerstrasse 32,4052,Basel,3.5,86,1840
Adlerstrasse 32,4052,Basel,3.5,85,1560
Kleinhüningerstrasse 87,4057,Basel,2,40,1260
Kirchgasse 2,4058,Basel,1,24,850
Riehenstrasse 22,4058,Basel,3,79,1770
Güterstrasse 94,4053,Basel,3,74,1630
Oberwilerstrasse 157,4054,Basel,1.5,46,1160
Schlossgasse 7,4057,Basel,2,,1090
Klingentalstr. 53,4057,Basel,1,28,890
Grosspeterstrasse 47,4052,Basel,2,38,1000
Tolle 3 Zimmerwohnung an zentraler Lage,4057,Basel,3,,1790
St. Jakobsstrasse 193,4052,Basel,3.5,72,2270
Erlenmattstr. 83,4058,Basel,3.5,83,2280
Rosentalstrasse 71,4058,Basel,3,74,1720
Entenweidstr. 84b,4056,Basel,3,63,1370
Zürcherstr. 23,4052,Basel,2.5,63,1340
Gundeldingerrain 10 (TEC),4053,Basel,2,48,1264
St. Alban-Rheinweg 80,4052,Basel,1,37,1050
Schwarzwaldallee 269,4058,Basel,2.5,38,1460
Riehenstrasse 163,4058,Basel,2,56,1240
Jacob Burckhardt-Str. 77,4052,Basel,1,30,920
Colmarerstr. 74,4055,Basel,1,32,860
Beim Letziturm 15,4052,Basel,3,73,1755
Schwarzwaldallee 269,4058,Basel,3.5,90,1910
Schwarzwaldallee 269,4058,Basel,2,31,1290
Sundgauerstrasse 2,4055,Basel,1.5,38,1300
Altrheinweg 44,4057,Basel,2.5,48,1450
Jacob Burckhardt-Str. 77,4052,Basel,3,76,1820
Grosspeterstr. 11,4052,Basel,3,61,1530
Gundeldingerrain 8 (TEC),4053,Basel,4,95,1945
Gotthelfstrasse 96,4054,Basel,2,52,1220
Aeschenvorstadt 48/50,4051,Basel,2.5,79,2470
Klingental 1,4058,Basel,2.5,102,1876
Birsigstrasse 80,4054,Basel,1,33,1170
Bachlettenstrasse 37,4054,Basel,2,48,1390
Klybeckstrasse 190,4057,Basel,3,84,2380
Bachlettenstrasse 37,4054,Basel,1,25,1030
Klybeckstrasse 190,4057,Basel,3.5,71,1930
Bachlettenstrasse 39,4054,Basel,3,60,1726
Farnsburgerstrasse 44,4052,Basel,,,2520
Turnerstrasse 6,4058,Basel,3,75,1620
Feldbergstrasse 96,4057,Basel,3,,1780
Lachenstrasse 16,4056,Basel,3,69,1670
Kandererstrasse 29,4057,Basel,2,68,1470
Spalenberg 26,4051,Basel,2,46,1450
Rheinfelderstr. 3,4058,Basel,2.5,55,1200
Rheinfelderstr. 1,4058,Basel,3.5,95,1880
Sempacherstrasse 59,4053,Basel,3,77,1460
Spalenring 160,4055,Basel,2.5,64,1700
Elsässerstrasse 51,4056,Basel,4,94,1860
Wattstrasse 16,4056,Basel,3.5,69,1550
Petersgasse 34,4051,Basel,2,39,1590
Clarahofweg 47,4058,Basel,1.5,62,1630
Sattelgasse 2,4051,Basel,2.5,85,2400
Spalenberg 26,4051,Basel,3.5,106,2500
Amerbachstr. 89,4057,Basel,2,,1360
Petersgasse 34,4051,Basel,4,135,4500
Oberer Batterieweg 8,4059,Basel,2,60,1220
Holeestrasse 159,4054,Basel,2,47,1345
Gundeldingerrain 12 (TEC),4053,Basel,3,83,1790
Eisenbahnweg 10,4058,Basel,3.5,100,1990
J.J. Balmer-Strasse 7,4053,Basel,1.5,30,1030
Gerbergässlein 41,4051,Basel,1.5,96,2440
Gerbergasse 70,4001,Basel,1.5,96,2440
Falknerstrasse 2/4,4001,Basel,3.5,123,4520
Eisenbahnweg 10,4058,Basel,3,75,1650
Flughafenstr. 61,4056,Basel,3,60,1500
Schützengraben 9,4051,Basel,3.5,89,2250
Colmarerstrasse 77,4055,Basel,3,69,1690
Pfeffingerstrasse 82,4053,Basel,3,68,1540
Gerbergasse 12,4051,Basel,3.5,147,2700
Holeestrasse 159,4054,Basel,3,57,1480
Grosspeterstr. 9,4052,Basel,3,61,1465
Breisacherstrasse 68,4057,Basel,2,,1490
Schneidergasse 1,4051,Basel,1.5,66,1960
Viktoriarain 14,3013,Bern,6.5,150,3270
Bolligenstrasse 14a,3006,Bern,4.5,140,3325
Brückfeldstr. 19,3012,Bern,1.5,37,1280
Libellenweg 28,3006,Bern,3.5,,1645
Beaulieustrasse 47,3012,Bern,3.5,60,1950
,3013,Bern,1.5,,900
Eigerstrasse 68,3007,Bern,3.5,76,1690
Friedlistrasse 16,3006,Bern,2,,1730
Frankenstrasse,3018,Bern,2,57,1090
Cäcilienstrasse 21,3007,Bern,3,54,1400
Sulgenrain 12,3007,Bern,2.5,63,1580
Pappelweg 44,3013,Bern,2,,1230
,3012,Bern,2.5,46,1290
Postgasse 54,3011,Bern,2.5,47,2070
Randweg 15,3013,Bern,1,,760
Spitalackerstrasse 21,3013,Bern,2.5,103,1935
Holligenstrasse 109,3008,Bern,3,73,1540
Monbijoustrasse 75,3007,Bern,3,83,1895
Fellenbergstrasse 14,3012,Bern,4,,2900
Greyerzstrasse 47,3013,Bern,2.5,,1575
Mühledorfstrasse 4,3018,Bern,3,60,1670
Keltenstrasse 11,3018,Bern,3.5,66,1410
Burgernzielweg 16,3006,Bern,4.5,103,2120
Ostring 62,3006,Bern,3.5,70,1881
,3018,Bern,3,,1360
Weissenbühlweg 41,3007,Bern,2.5,56,1500
Rathausgasse 12,3011,Bern,3,73,1890
Schwarzenburgstrasse 226,3097,Bern,2.5,54,1315
Lerchenweg 29,3012,Bern,1.5,75,2150
Werkgasse 56,3018,Bern,2,52,1490
Allmendstrasse 7,3014,Bern,3.5,,1650
Kapellenstrasse 23,3011,Bern,2.5,58,1448
Gerechtigkeitsgasse 35,3011,Bern,2,46,1480
Egelgasse 66,3006,Bern,3,69,1350
Könizstrasse 27,3008,Bern,3.5,89,1740
Schwarztorstrasse 36,3007,Bern,1.5,38,1340
Morgartenstrasse 15,3014,Bern,4.5,95,2750
Morgartenstrasse 15,3014,Bern,2.5,42,1550
Morgartenstrasse 15,3014,Bern,4.5,85,2950
Neuhausweg 25,3027,Bern,4.5,113,775
Sahlistrasse 44,3012,Bern,2,,1475
Neuhausweg 23,3027,Bern,3,,1390
Lombachweg 13,3006,Bern,3.5,80,2700
,3006,Bern,4,,1480
Zähringerstrasse 42,3012,Bern,2,47,1421
Rodtmattstrasse 57,3014,Bern,2,,1730
Gesellschaftsstrasse 63,3012,Bern,2,52,1450
Wylerringstrasse 11,3014,Bern,2.5,118,2590
Gantrischstrasse 8a,3006,Bern,2,59,1280
,3008,Bern,3.5,90,2090
Friedeckweg 8,3007,Bern,2.5,61,1585
Muesmattstrasse 48,3012,Bern,1,20,880
Zwinglistrasse 2,3007,Bern,3,59,1350
,3014,Bern,2.5,,1248
Jupiterstrasse 51,3015,Bern,2.5,61,1415
Reichenbachstrasse 120,3004,Bern,1.5,43,1250
Reichenbachstrasse 120,3004,Bern,2.5,60,1430
Reichenbachstrasse 120,3004,Bern,2.5,57,1400
Reichenbachstrasse 120,3004,Bern,1.5,43,1250
Mühlemattstrasse 57,3007,Bern,1,57,1850
Seminarstrasse 11,3006,Bern,3.5,120,2700
Rabbentalstrasse,3013,Bern,1,25,1100
Flurstrasse 32,3014,Bern,3.5,95,2300
Seftigenstrasse 21,3007,Bern,3,75,1670
,3006,Bern,3.5,78,1630
Schenkstrasse 13,3008,Bern,2.5,58,1660
Thunstrasse 31,3005,Bern,4.5,120,2750
Mittelstrasse 40/42,3012,Bern,3.5,77,2400
Sonnenhofweg 25,3006,Bern,2.5,55,1470
Ostring 25,3006,Bern,1,34,870
Elisabethenstrasse 10,3014,Bern,2.5,,2250
Ostring 62,3006,Bern,3.5,,1881
Holligenstrasse 109,3008,Bern,3,73,1560
Sandrainstrasse 97,3007,Bern,4,102,2752
Bolligenstr.28b,3006,Bern,5.5,148,2850
Wankdorffeldstrasse 101,3014,Bern,1,19,830
Römerweg 1,3013,Bern,1,,760
Pulverweg 40,3006,Bern,1.5,,770
Pulverweg 42,3006,Bern,1,,594
Rosenweg 17,3007,Bern,3,70,2070
Fischermättelistrasse 13,3008,Bern,3.5,70,1755
Parkstrasse 11 A,3014,Bern,1,22,840
Blockweg 8,3007,Bern,2,53,1450
Stöckackerstrasse 110,3018,Bern,3.5,65,1556
,3007,Bern,3.5,,1880
Morgartenstrasse 15,3014,Bern,4.5,95,2750
Morgartenstrasse 15,3014,Bern,2.5,42,1550
Morgartenstrasse 15,3014,Bern,4.5,85,2950
Klaraweg 39,3006,Bern,3,,1450
Lerchenweg 37,3012,Bern,2.5,67,1680
Bonstettenstrasse 10,3012,Bern,2,55,1440
,3006,Bern,2,,500
Egelgasse 66,3006,Bern,3,,1350
Hostettlerweg 2,3006,Bern,4.5,129,5170
Parkstrasse 9,3014,Bern,1,21,880
Moserstrasse 48,3014,Bern,1.5,100,2262
Giacomettistrasse 31a,3006,Bern,3.5,86,1725
Eigerstr. 60,3007,Bern,2,55,1745
Dammweg 27,3013,Bern,3.5,70,1910
Cäcilienstr. 7a,3007,Bern,3.5,88,1660
Sulgeneckstrasse 38,3007,Bern,2.5,,1931
Mühledorfstrasse 2A,3018,Bern,2.5,51,1406
Tscharnerstrasse 32,3007,Bern,2,,965
Papiermühlestr. 2 B,3013,Bern,3.5,75,1720
Buristr. 10,3006,Bern,4.5,96,2150
Rathausgasse 50,3011,Bern,2,,1500
Papiermühlestr. 2 B,3013,Bern,2,55,1445
Viktoriastr. 21 (Süd),3013,Bern,2.5,56,1902
Alemannenstrasse 43,3018,Bern,4,,1580
Brunngasse 30,3011,Bern,1.5,39,1590
Waldheimstrasse 14,3012,Bern,1,30,1190
Schlossstrasse 102,3008,Bern,3,,1460
Scheuermattweg 10,3007,Bern,1,24,860
Münstergasse 55,3011,Bern,2,60,1465
Rodtmattstrasse 77,3014,Bern,2,,1370
Kramgasse 74,3011,Bern,1.5,38,1700
,3005,Bern,3.5,90,1800
Werkgasse 56,3018,Bern,1,23,990
Hintere Engehaldestrasse 12,3004,Bern,3.5,104,1890
Winkelriedstr. 13,3014,Bern,3.5,66,1505
Brunngasse 50,3011,Bern,1,,800
Murtenstrasse 143B,3008,Bern,2,50,1250
Giacomettistrasse 24,3006,Bern,1,12,250
Ostring 23,3006,Bern,3.5,94,1800
Europaplatz 1A,3008,Bern,2.5,63,1950
Bahnstrasse 99,3008,Bern,3.5,50,1580
Allmendstrasse 7,3014,Bern,3.5,,1770
Elfenstrasse 3,3006,Bern,5,146,4800
,3012,Bern,2,46,1400
Haldenstrasse 143,3014,Bern,2,50,1345
Landoltstrasse 60,3007,Bern,2,63,1300
Falkenweg 8,3012,Bern,1,,980
Rathausgasse 52,3011,Bern,2,,1550
Lerberstrasse 30,3013,Bern,6,,4290
Winkelriedstr. 13,3014,Bern,3.5,66,1511
Bümplizstrasse,3027,Bern,2.5,,1445
Bümplizstrasse 48,3027,Bern,3,61,1395
Mühledorfstrasse 2,3018,Bern,1,27,920
Lagerweg 6,3013,Bern,1,30,
Zähringerstr. 25,3012,Bern,2.5,78,1990
Bitziusstrasse 51,3006,Bern,4.5,104,2800
Weltpoststrasse 3B,3015,Bern,2.5,66,1870
Schosshaldentrasse 20B,3006,Bern,2.5,,1215
Hintere Engehaldestrasse 12,3004,Bern,2.5,65,1540
Muesmattstrasse 48,3012,Bern,1,23,880
Mühledorfstrasse 1,3018,Bern,4.5,106,2900
Mittelstrasse 53,3012,Bern,1,33,1020
Junkerngasse 20,3011,Bern,4,,3350
Winkelriedstr. 11,3014,Bern,2.5,54,1270
Wylerstrasse 71,3014,Bern,1,32,990
Schloss-Strasse 143,3008,Bern,3,64,1450
Europaplatz 1B,3008,Bern,2.5,88,2415
Wankdorffeldstrasse 101,3014,Bern,2,64,1620
Bümplizstrasse 200,3018,Bern,2,,1190
Europaplatz 1B,3008,Bern,2.5,88,2415
Hirschengraben 6,3011,Bern,3.5,107,2570
Eigerstr. 58,3007,Bern,2,43,1415
,3011,Bern,3.5,95,1920
Dr. Zuber-Strasse 4B,3072,Bern,5.5,,715
Weissenbühlweg 40 B,3007,Bern,4.5,104,2440
Bümplizstrasse 69,3018,Bern,1,38,1300
Schwanengasse 5/7,3011,Bern,2.5,78,1905
Sahlistrasse 46,3012,Bern,2,,1470
Bierhübeliweg 35,3012,Bern,4,115,2650
Murtenstrasse 143 B,3008,Bern,2,39,1350
Brunngasse 30,3011,Bern,1.5,33,1470
Bümplizstrasse,3027,Bern,3.5,,1430
Landoltstrasse 107,3007,Bern,2.5,,1415
Jurastrasse 17,3013,Bern,3,70,1780
Junkerngasse 23,3011,Bern,4,125,3190
Marktgasse 17,3011,Bern,2,68,2330
Effingerstr. 109,3008,Bern,2.5,64,1360
Altenbergstrasse 80,3013,Bern,2.5,58,1690
Monreposweg 12,3008,Bern,3,,1650
Huberstrasse 14,3008,Bern,2,51,1215
Hintere Engehaldestrasse 12,3004,Bern,2.5,86,1625
Wylerstrasse 71,3014,Bern,2,56,1450
Weissensteinstrasse 49 D,3007,Bern,2,55,1360
Fabrikstrasse 29 B,3012,Bern,2,52,1390
Holligenstrasse 35,3008,Bern,3,75,1710
Breitenrainstrasse 27,3013,Bern,3.5,75,1990
Weissenbühlweg 40 B,3007,Bern,2.5,65,1730
Weissenbühlweg 40 C/D,3007,Bern,3.5,,1990
Rodtmattstrasse 55,3014,Bern,3,,1750
Zieglerstrasse 36,3007,Bern,1,31,935
Weissenbühlweg 40 A,3007,Bern,3.5,82,2040
Nelkenweg 3,3006,Bern,3,,2390
Nelkenweg 3,3006,Bern,3,,2190
Werkgasse 56,3018,Bern,3,67,1770
,3012,Bern,2.5,65,1650
Lagerweg 4,3013,Bern,2.5,50,1430
Effingerstrasse 41d,3008,Bern,2.5,88,2230
Effingerstrasse 41d,3008,Bern,4.5,192,4740
Effingerstrasse 41d,3008,Bern,3.5,118,2990
Hochfeldstrasse 69,3012,Bern,2.5,62,1600
Falkenweg 8,3012,Bern,2.5,,1590
,3008,Bern,2.5,50,1375
,3004,Bern,3,60,1610
Beaulieustrasse 49,3012,Bern,3,70,1570
waldheimstrasse 6,3012,Bern,1,,1300
Schönburgstrasse 19,3013,Bern,3.5,70,1995
Asterweg 20,3004,Bern,3.5,90,1950
Seftigenstrasse 44,3007,Bern,2,48,1410
Nordweg 6,3013,Bern,3.5,85,2480
Marktgasse 20,3011,Bern,1,32,1120
Ostring 21,3006,Bern,2.5,73,1390
Morillonstr. 40,3007,Bern,2.5,65,1390
Zeughausgasse 27,3011,Bern,2,65,2185
Ankerstrasse 27,3006,Bern,3,76,1645
Talweg 8,3008,Bern,2,,1340
Aarbergergasse 57,3011,Bern,2.5,99,2375
Schönauweg,3007,Bern,3.5,77,1499
Kramgasse 45,3011,Bern,2,100,2000
Aegertenstrasse 57,3005,Bern,4,,2790
Aarbergergasse 35,3011,Bern,2.5,,1545
Nordweg 12,3013,Bern,3.5,90,2620
Marktgasse 20,3011,Bern,4,114,2660
Kramgasse 45,3011,Bern,2,100,2100
Gantrischstrasse 8,3006,Bern,2.5,73,1525
Kornhausplatz 7,3011,Bern,3.5,118,3390
Holligenstrasse 121,3008,Bern,3,73,1545
Beaumontweg 36,3007,Bern,3,75,1650
Trüsselstrasse 4,3014,Bern,1.5,24,2310
Ursulaweg 29,8404,Winterthur,4.5,90,1740
Pfaffenwiesenstr. 52,8404,Winterthur,3.5,70,1505
Lindbergstrasse 20,8404,Winterthur,3.5,59,1500
Wingertlistr. 42,8405,Winterthur,2,54,1115
Sonnenblickstrasse 23,8404,Winterthur,1.5,65,1435
Feldstrasse 49,8400,Winterthur,1,36,993
Büelhofstrasse 36,8405,Winterthur,4,80,1940
Robert-Sulzer-Gasse 18,8400,Winterthur,3.5,74,2105
Römerstrasse 236,8404,Winterthur,3,69,1530
Obere Schöntalstrasse 40,8406,Winterthur,3.5,86,1960
Seuzacherstr. 9b,8400,Winterthur,3.5,94,2480
Tösstalstrasse 138,8400,Winterthur,3.5,67,2085
Albrechtstrasse 10,8406,Winterthur,4.5,170,2950
Seuzacherstr. 9a,8400,Winterthur,1.5,44,1350
Wässerwiesenstrasse 67P,8408,Winterthur,3.5,96,1681
Poststrasse 1,8406,Winterthur,1.5,35,1190
Poststrasse 1,8406,Winterthur,1.5,33,1170
Wallrütistrasse 117a,8404,Winterthur,2.5,66,1535
Rychenbergstrasse 2,8400,Winterthur,2.5,50,1200
Büelrainstrasse 19,8400,Winterthur,1,19,875
Scherrerstrasse 8,8400,Winterthur,4,88,1955
Bollstr. 4 B,8405,Winterthur,4.5,101,1900
Tösstalstrasse 139,8400,Winterthur,3,,1500
Unterwegli 45,8404,Winterthur,2.5,71,1370
Grenzstr.28,8406,Winterthur,3,70,1375
,8406,Winterthur,3.5,90,2100
Waldeggweg 7A,8400,Winterthur,4,,1850
Zypressenstrasse 20,8408,Winterthur,3.5,68,1490
Hegistr. 41b,8404,Winterthur,3.5,93,1995
Bleichestrasse 21a,8400,Winterthur,3.5,65,1565
Pfaffenwiesenstrasse 52,8404,Winterthur,3.5,70,1505
Obere Schöntalstrasse 42,8406,Winterthur,3.5,91,2050
Sulzerallee 59,8404,Winterthur,3.5,98,2305
Rosentalstrasse 72,8400,Winterthur,3.5,66,1810
Lindenstrasse 7,8400,Winterthur,4.5,,2190
Tellstrasse 46,8400,Winterthur,3.5,69,1610
Hörnlistrasse 83,8400,Winterthur,3.5,107,2800
Zürcherstrasse 62a,8406,Winterthur,1.5,50,1260
,8400,Winterthur,2,80,1950
Wülflingerstrasse 172,8408,Winterthur,2.5,59,1720
,8405,Winterthur,5,137,2260
Bürglistrasse 9,8400,Winterthur,3,,1575
Wässerwiesenstr. 81c,8408,Winterthur,3.5,93,2030
oberebriggerstrasse,8406,Winterthur,1,30,1100
Wallrütistrasse 78,8404,Winterthur,3,60,1371
Grenzstrasse 7,8406,Winterthur,4.5,,2450
Stationsstrasse 7,8406,Winterthur,3.5,,1658
Heiniweg 16,8404,Winterthur,3.5,77,1555
Seuzacherstr. 13b,8400,Winterthur,3.5,95,2490
Hofwiesenweg 2,8405,Winterthur,2,53,1395
Guggenbühlstrasse 10,8404,Winterthur,3,58,1435
Unt. Schöntalstrasse 9,8406,Winterthur,2.5,55,1270
Heiniweg 16,8404,Winterthur,3.5,77,1525
Turmstrasse 72,8400,Winterthur,2.5,40,1350
Holzlegistrasse,8408,Winterthur,3,,1498
Wülflingerstrasse 324,8408,Winterthur,4,,1530
Pflanzschulstrasse 37,8400,Winterthur,4.5,126,2840
Neuwiesenstrasse 10,8400,Winterthur,,,1290
Stadlerstrasse 152,8404,Winterthur,4.5,98,1970
Weststr. 131,8408,Winterthur,3.5,82,2010
Gottfried Keller-Strasse 77,8400,Winterthur,3.5,72,1635
Unterwiesenstrasse 4,8408,Winterthur,3,66,1585
Zürcherstrasse 62a,8406,Winterthur,3.5,110,2200
Riedhofstrasse 58,8408,Winterthur,2.5,63,1720
Euelstr. 66,8408,Winterthur,3.5,114,2244
St. Gallerstrasse 50,8400,Winterthur,2.5,72,2040
Eichgutstr. 2,8400,Winterthur,5.5,143,3450
Rümikerstrasse 36,8409,Winterthur,4.5,115,2500
Schlosshofstr. 64,8400,Winterthur,3.5,91,2150
Lindbergstrasse 20,8404,Winterthur,3,56,1490
Werkstrasse,8400,Winterthur,3,61,1598
Dättnauerstr. 147,8406,Winterthur,5.5,122,2680
Eichliackerstrasse 23,8406,Winterthur,2.5,75,1850
Baderstrasse 21,8400,Winterthur,3.5,,1890
Poststrasse 1,8406,Winterthur,2.5,53,1670
Schlosstalstrasse,8406,Winterthur,3.5,60,1670
Hulfteggstrasse 14,8400,Winterthur,3.5,90,1690
Oberfeldstrasse 93,8408,Winterthur,3,60,1518
Römerstrasse,8404,Winterthur,4,90,1860
Guggenbühlstrasse 28,8404,Winterthur,3,58,1445
Sulzer-Allee 71,8404,Winterthur,2.5,72,1810
Else-Züblin-Str. 74,8404,Winterthur,3.5,100,2140
Feldstr. 49,8400,Winterthur,2.5,72,1470
Am Eulachpark 15,8404,Winterthur,3.5,101,2280
Schaffhauserstrasse 56,8400,Winterthur,1.5,70,1370
Kanzleistrasse,8405,Winterthur,3,,1560
Zürcherstrasse 30,8400,Winterthur,3,50,1590
Oberseenerstrasse 16,8405,Winterthur,3,63,1640
Obere Schöntalstrasse 44,8406,Winterthur,4.5,107,2420
Feldstr. 49,8400,Winterthur,2,60,1375
Rössligasse 10,8405,Winterthur,3.5,80,1850
Emil Klöti-Str. 2,8406,Winterthur,3.5,88,1895
Konradstr. 3,8400,Winterthur,3,53,1423
Else-Züblin-Strasse 85c,8404,Winterthur,1,115,2250
Ursulaweg 29,8404,Winterthur,3.5,79,1560
Holzlegistr. 6,8408,Winterthur,3,61,1435
Kornweg 2,8405,Winterthur,4,,1690
Ida-Sträulistr. 49,8404,Winterthur,3.5,83,2050
Bäumlistrasse 3,8404,Winterthur,4.5,95,3130
Walkestrasse 16,8400,Winterthur,3,65,1650
Wallrütistrasse 113,8404,Winterthur,4,,1755
Reutlingerstr. 15,8404,Winterthur,1.5,30,960
Sulzer-Allee 81,8404,Winterthur,2.5,68,1860
Else-Züblin-Str. 70,8404,Winterthur,2.5,67,1810
Schönaustrasse 4,8400,Winterthur,2.5,52,1200
,8406,Winterthur,4.5,,1950
St. Gallerstrasse 44,8400,Winterthur,3.5,85,2430
Else-Züblin-Strasse 85a,8404,Winterthur,1,90,2090
Lindbergstrasse 20,8404,Winterthur,4,71,1700
Etzbergstrasse 16a,8405,Winterthur,3.5,71,1580
Unterwiesenstr. 10,8408,Winterthur,4.5,88,1863
Feldstr. 49,8400,Winterthur,1.5,40,1135
Seuzacherstr. 11b,8400,Winterthur,3.5,88,2370
Seuzacherstr. 7a,8400,Winterthur,3.5,98,2520
Gutstrasse 13,8400,Winterthur,1,39,1245
Schulgasse 3,8000,Winterthur,1,13,910
Zürcherstrasse 157,8406,Winterthur,2,46,1400
Stadlerstrasse 158,8404,Winterthur,3.5,79,1729
Langgasse 29,8400,Winterthur,4,72,1840
Römertorstrasse 2,8404,Winterthur,3.5,84,2150
Lokstadt,8400,Winterthur,2.5,,
Lokstadt,8400,Winterthur,4.5,,
Lokstadt,8400,Winterthur,3.5,,
St. Gallerstrasse 46,8400,Winterthur,3.5,85,2390
Zürcherstrasse 145,8406,Winterthur,1.5,37,1250
Maienstrasse 2,8406,Winterthur,3.5,73,1650
Else-Züblin-Str. 66,8404,Winterthur,1,73,1710
Wülflingerstrasse 349,8408,Winterthur,3.5,82,1704
Sulzerallee 80 - 88,8409,Winterthur,3.5,92,2220
Sulzer-Allee 71,8404,Winterthur,2.5,85,
Feldstrasse 16,8400,Winterthur,1.5,159,3430
Else-Züblin-Str. 72,8404,Winterthur,3.5,105,2200
Zücherstrasse 143,8406,Winterthur,1.5,36,1990
Tössfeldstrasse 67 b,8406,Winterthur,2.5,45,2250
Bäckerstrasse 12,8400,Winterthur,1.5,35,1950
Kanzleistrasse 57,8405,Winterthur,1.5,46,2100
Neustadtgasse 29,8400,Winterthur,1,16,1100
Würzenbachstrasse,6006,Luzern,4.5,75,1610
,6003,Luzern,4.5,120,1875
Fluhmühlerain 3,6015,Luzern,3,60,1340
Matthofring 22,6005,Luzern,3.5,70,1720
Grenzweg,6003,Luzern,3.5,65,1380
Kreuzbuchstrasse 35a,6006,Luzern,2.5,56,1640
Ruopigenring 79,6015,Luzern,4.5,,1830
,6003,Luzern,1,,1010
Moosmattstrasse 50,6005,Luzern,3,59,1430
Ennetweg 4,6015,Luzern,1.5,29,995
Cheerstrasse,6014,Luzern,3.5,84,1800
Werftestrasse 4a,6005,Luzern,3.5,131,3400
Zihlmattweg 44,6005,Luzern,2.5,83,2590
Unterlachenstrasse 15,6005,Luzern,2.5,51,1360
Kauffmannweg 17,6003,Luzern,3.5,83,1811
,6003,Luzern,1,,640
Blattenmoosstrasse 4,6014,Luzern,2,60,1130
Schlösslihalde 19,6006,Luzern,3.5,93,2820
Bundesplatz 4,6003,Luzern,3,75,1570
Hirtenhofring 18,6005,Luzern,3.5,69,1445
Militärstrasse 37,6003,Luzern,3,74,1570
Mozartstr. 3,6004,Luzern,4,87,1680
,6004,Luzern,3,75,1940
Kellerstrasse 19,6005,Luzern,4,,1570
Längweiherstr. 22,6014,Luzern,3.5,75,1540
Zihlmattweg 44,6005,Luzern,3.5,76,2150
Zihlmattweg 44,6005,Luzern,2.5,46,1620
Haldenstrasse 5,6006,Luzern,4,,2950
Sagenmattstrasse 22,6003,Luzern,3,,1450
Winkelriedstrasse 37,6003,Luzern,2.5,60,1630
Kauffmannweg 28,6003,Luzern,2.5,72,1780
Abendweg,6006,Luzern,2,51,1075
Reckenbühlstrasse 6,6005,Luzern,3,,1600
Salzfassstrasse 8a,6006,Luzern,3.5,,3240
Horwerstrasse 32,6005,Luzern,3.5,100,2510
Felsental 7,6006,Luzern,3.5,55,1150
Maihofstrasse 4,6004,Luzern,2.5,104,2000
Sempacherstrasse 34,6003,Luzern,1,25,765
Bruchstrasse 2,6003,Luzern,2,85,2130
Winkelriedstrasse 56,6003,Luzern,2.5,57,1900
Bleicherstrasse 29,6003,Luzern,3.5,81,1710
Biregghang 6,6005,Luzern,3.5,87,1780
Habsburgerstrasse 11,6003,Luzern,3,72,1540
Hauptstrasse 17,6015,Luzern,3.5,,1370
Bergstrasse 13,6004,Luzern,2.5,90,1950
,6003,Luzern,1.5,30,1192
,6005,Luzern,2.5,48,1730
Seefeldrain 3,6006,Luzern,4.5,103,2130
Seefeldstrasse 8,6006,Luzern,3.5,84,2120
Seefeldstrasse 8,6006,Luzern,4.5,100,2220
Imfangring 16,6005,Luzern,4.5,92,1690
Maihofstrasse 4,6004,Luzern,3,90,1930
Bruchstrasse 24,6003,Luzern,2.5,62,1500
Lindenstrasse 34,6015,Luzern,2.5,50,1260
Würzenbachstr. 34,6006,Luzern,3,64,1510
Habsburgerstrasse 37,6003,Luzern,4.5,115,2300
Schönbühlring 3,6005,Luzern,3.5,71,1750
Winkelriedstrasse,6003,Luzern,2.5,58,1450
Maihofmatte 8,6006,Luzern,3.5,68,1700
Brünigstrasse 11,6005,Luzern,2,40,1390
Ennetweg 4,6015,Luzern,3.5,79,1990
Blattenmoosstrasse 4,6014,Luzern,2,60,1150
Würzenbachhalde 7,6006,Luzern,2,33,940
Seefeldstrasse 17,6006,Luzern,3.5,72,1710
St. Karliquai 9,6004,Luzern,1.5,,1225
Baselstrasse 43,6003,Luzern,4,66,1580
Baselstrasse 43,6003,Luzern,3,55,1430
Sternmattstrasse 119,6005,Luzern,2.5,,1850
Geissmattstasse 60,6004,Luzern,2,60,1340
Matthofring 24,6005,Luzern,3.5,70,1715
Matthofring 22,6005,Luzern,3.5,70,1715
