Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/keltenstrasse-11-3018-bern/589189/,Keltenstrasse 11,3018,Bern,1410,3 ½,66 m²
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/burgernzielweg-16-3006-bern/593677/,Burgernzielweg 16,3006,Bern,2120,4 ½,103 m²
5 ½ Zimmer-Attikawohnung in Liebefeld mieten,/de/wohnung/schwarzenburgstrasse-146-3097-liebefeld/595060/,Schwarzenburgstrasse 146,3097,Liebefeld,3590,5 ½,143 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/ostring-62-3006-bern/600985/,Ostring 62,3006,Bern,1881,3 ½,70 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/3018-bern/600965/,no street available,3018,Bern,1360,3,NaN
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/weissenbuhlweg-41-3007-bern/600856/,Weissenbühlweg 41,3007,Bern,1500,2 ½,56 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/rathausgasse-12-3011-bern/594606/,Rathausgasse 12,3011,Bern,1890,3,73 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/schwarzenburgstrasse-226-3097-bern/600768/,Schwarzenburgstrasse 226,3097,Bern,1315,2 ½,54 m²
2 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/bernstrasse-117-3072-ostermundigen/600675/,Bernstrasse 117,3072,Ostermundigen,1596,2 ½,78 m²
1 ½ Zimmer-Loft in Bern mieten,/de/wohnung/lerchenweg-29-3012-bern/600615/,Lerchenweg 29,3012,Bern,2150,1 ½,75 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/werkgasse-56-3018-bern/600610/,Werkgasse 56,3018,Bern,1490,2,52 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/allmendstrasse-7-3014-bern/600382/,Allmendstrasse 7,3014,Bern,1650,3 ½,NaN
3 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/bernstrasse-25-3072-ostermundigen/279709/,Bernstrasse 25,3072,Ostermundigen,2540,3 ½,82 m²
4 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/unterdorfstrasse-25-3072-ostermundigen/600303/,Unterdorfstrasse 25,3072,Ostermundigen,1700,4 ½,96 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/kapellenstrasse-23-3011-bern/600281/,Kapellenstrasse 23,3011,Bern,1448,2 ½,58 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/gerechtigkeitsgasse-35-3011-bern/599709/,Gerechtigkeitsgasse 35,3011,Bern,1480,2,46 m²
4 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/blinzernfeldweg-14-3098-koniz/599540/,Blinzernfeldweg 14,3098,Köniz,1765,4 ½,94 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/egelgasse-66-3006-bern/592395/,Egelgasse 66,3006,Bern,1350,3,69 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/konizstrasse-27-3008-bern/596569/,Könizstrasse 27,3008,Bern,1740,3 ½,89 m²
3 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/blankweg-18-3072-ostermundigen/571062/,Blankweg 18,3072,Ostermundigen,1550,3 ½,68 m²
4 ½ Zimmer-Wohnung in Muri b. Bern mieten,/de/wohnung/oberer-wehrliweg-2-b-3074-muri-b-bern/594649/,Oberer Wehrliweg 2 B,3074,Muri,2220,4 ½,113 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/schwarztorstrasse-36-3007-bern/600051/,Schwarztorstrasse 36,3007,Bern,1340,1 ½,38 m²
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/morgartenstrasse-15-3014-bern/599949/,Morgartenstrasse 15,3014,Bern,2750,4 ½,95 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/morgartenstrasse-15-3014-bern/599948/,Morgartenstrasse 15,3014,Bern,1550,2 ½,42 m²
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/morgartenstrasse-15-3014-bern/599947/,Morgartenstrasse 15,3014,Bern,2950,4 ½,85 m²
4 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/neuhausweg-25-3027-bern/599880/,Neuhausweg 25,3027,Bern,775,4 ½,113 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/sahlistrasse-44-3012-bern/583405/,Sahlistrasse 44,3012,Bern,1475,2,NaN
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/neuhausweg-23-3027-bern/599652/,Neuhausweg 23,3027,Bern,1390,3,NaN
2 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/blankweg-62-3072-ostermundigen/599647/,Blankweg 62,3072,Ostermundigen,1480,2 ½,59 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/lombachweg-13-3006-bern/599588/,Lombachweg 13,3006,Bern,2700,3 ½,80 m²
4 Zimmer-Wohnung in Bern mieten,/de/wohnung/3006-bern/599513/,no street available,3006,Bern,1480,4,NaN
2 ½ Zimmer-Wohnung in Worblaufen mieten,/de/wohnung/lindenhofstrasse-10-3048-worblaufen/599471/,Lindenhofstrasse 10,3048,Worblaufen,1430,2 ½,67 m²
3 ½ Zimmer-Wohnung in Liebefeld mieten,/de/wohnung/konizstrasse-257-3097-liebefeld/593717/,Könizstrasse 257,3097,Liebefeld,1690,3 ½,72 m²
4 Zimmer-Wohnung in Wabern mieten,/de/wohnung/bondelistrasse-66-3084-wabern/599043/,Bondelistrasse 66,3084,Wabern,1790,4,79 m²
3 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/bondelistrasse-66-3084-wabern/596166/,Bondelistrasse 66,3084,Wabern,1860,3 ½,82 m²
2 ½ Zimmer-Wohnung in Ostermundigen mieten,/de/wohnung/dr-zuber-strasse-2a-3072-ostermundigen/599260/,Dr. Zuber-Strasse 2a,3072,Ostermundigen,1370,2 ½,52 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/zahringerstrasse-42-3012-bern/582084/,Zähringerstrasse 42,3012,Bern,1421,2,47 m²
4 Zimmer-Wohnung in Wabern mieten,/de/wohnung/kirchstrasse-154-3084-wabern/581557/,Kirchstrasse 154,3084,Wabern,1663,4,79 m²
4 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/blinzernfeldweg-9-3098-koniz/599147/,Blinzernfeldweg 9,3098,Köniz,1756,4 ½,NaN
2 Zimmer-Wohnung in Wabern mieten,/de/wohnung/kirchstrasse-156-3084-wabern/584876/,Kirchstrasse 156,3084,Wabern,1255,2,46 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/rodtmattstrasse-57-3014-bern/588205/,Rodtmattstrasse 57,3014,Bern,1730,2,NaN
3 ½ Zimmer-Wohnung in Ittigen mieten,/de/wohnung/im-gerbelacker-2-3063-ittigen/598819/,Im Gerbelacker 2,3063,Ittigen,1670,3 ½,NaN
4 ½ Zimmer-Wohnung in Kehrsatz mieten,/de/wohnung/sandbuhlstrasse-13a-3122-kehrsatz/598214/,Sandbühlstrasse 13A,3122,Kehrsatz,2050,4 ½,95 m²
3 ½ Zimmer-Wohnung in Belp mieten,/de/wohnung/sagemattstrasse-22-3123-belp/597976/,Sägemattstrasse 22,3123,Belp,1660,3 ½,74 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/gesellschaftsstrasse-63-3012-bern/598634/,Gesellschaftsstrasse 63,3012,Bern,1450,2,52 m²
5 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/funkstrasse-105-3084-wabern/598601/,Funkstrasse 105,3084,Wabern,2489,5 ½,NaN
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/wylerringstrasse-11-3014-bern/586887/,Wylerringstrasse 11,3014,Bern,2590,2 ½,118 m²
2 Zimmer-Wohnung in Bern mieten,/de/wohnung/gantrischstrasse-8a-3006-bern/596925/,Gantrischstrasse 8a,3006,Bern,1280,2,59 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/3008-bern/598457/,no street available,3008,Bern,2090,3 ½,90 m²
3 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/schlossstrasse-21-3098-koniz/598438/,Schlossstrasse 21,3098,Köniz,1590,3 ½,68 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/friedeckweg-8-3007-bern/597990/,Friedeckweg 8,3007,Bern,1585,2 ½,61 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/muesmattstrasse-48-3012-bern/596581/,Muesmattstrasse 48,3012,Bern,880,1,20 m²
2 ½ Zimmer-Wohnung in Wabern mieten,/de/wohnung/nesslerenweg-116-3084-wabern/595788/,Nesslerenweg 116,3084,Wabern,1850,2 ½,78 m²
3 ½ Zimmer-Wohnung in Köniz mieten,/de/wohnung/tulpenweg-102-3098-koniz/598152/,Tulpenweg 102,3098,Köniz,1810,3 ½,68 m²
2 ½ Zimmer-Wohnung in Ittigen mieten,/de/wohnung/eichenweg-2-3063-ittigen/598151/,Eichenweg 2,3063,Ittigen,1810,2 ½,66 m²
3 Zimmer-Wohnung in Bern mieten,/de/wohnung/zwinglistrasse-2-3007-bern/598150/,Zwinglistrasse 2,3007,Bern,1350,3,59 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/3014-bern/597980/,no street available,3014,Bern,1248,2 ½,NaN
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/jupiterstrasse-51-3015-bern/596122/,Jupiterstrasse 51,3015,Bern,1415,2 ½,61 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/reichenbachstrasse-120-3004-bern/597649/,Reichenbachstrasse 120,3004,Bern,1250,1 ½,43 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/reichenbachstrasse-120-3004-bern/597645/,Reichenbachstrasse 120,3004,Bern,1430,2 ½,60 m²
2 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/reichenbachstrasse-120-3004-bern/597644/,Reichenbachstrasse 120,3004,Bern,1400,2 ½,57 m²
1 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/reichenbachstrasse-120-3004-bern/597642/,Reichenbachstrasse 120,3004,Bern,1250,1 ½,43 m²
1 Zimmer-Loft in Bern mieten,/de/wohnung/muhlemattstrasse-57-3007-bern/597641/,Mühlemattstrasse 57,3007,Bern,1850,1,57 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/seminarstrasse-11-3006-bern/586356/,Seminarstrasse 11,3006,Bern,2700,3 ½,120 m²
1 Zimmer-Wohnung in Bern mieten,/de/wohnung/rabbentalstrasse-3013-bern/597452/,Rabbentalstrasse,3013,Bern,1100,1,25 m²
3 ½ Zimmer-Wohnung in Bern mieten,/de/wohnung/flurstrasse-32-3014-bern/597401/,Flurstrasse 32,3014,Bern,2300,3 ½,95 m²
