Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
2 Zimmer-Möblierte Wohnung in Basel mieten,/de/wohnung/horburgstrasse-86-4057-basel/597638/,Horburgstrasse 86,4057,Basel,1290,2,45 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/horburgstrasse-4-4057-basel/597636/,Horburgstrasse 4,4057,Basel,1350,2,55 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/amerbachstrasse-43-4057-basel/597628/,Amerbachstrasse 43,4057,Basel,920,1 ½,33 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/klingentalgraben-7-4057-basel/597622/,Klingentalgraben 7,4057,Basel,1800,4 ½,122 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/klingentalgraben-7-4057-basel/597614/,Klingentalgraben 7,4057,Basel,1700,4,97 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/horburgstrasse-86-4057-basel/597613/,Horburgstrasse 86,4057,Basel,1190,2,45 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/4053-basel/597534/,no street available,4053,Basel,1235,2 ½,63 m²
4 Zimmer-Wohnung in Münchenstein mieten,/de/wohnung/parkweg-4-4142-munchenstein/597512/,Parkweg 4,4142,Münchenstein,1895,4,85 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/gundeldingerstrasse-369-4053-basel/597474/,Gundeldingerstrasse 369,4053,Basel,1420,3,68 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/4057-basel/597434/,no street available,4057,Basel,1420,2,55 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/mittlere-strasse-60-4056-basel/597285/,Mittlere Strasse 60,4056,Basel,2200,3,75 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/missionsstrasse-61-4055-basel/597178/,Missionsstrasse 61,4055,Basel,1480,3,71 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/missionsstrasse-61-4055-basel/597177/,Missionsstrasse 61,4055,Basel,1600,3,71 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/sevogelstrasse-19-4052-basel/597153/,Sevogelstrasse 19,4052,Basel,1700,3,79 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/munchensteinerstr-4-4052-basel/597149/,Münchensteinerstr. 4,4052,Basel,900,1,27 m²
4 ½ Zimmer-Maisonette in Reinach BL mieten,/de/wohnung/im-reinacherhof-157-4153-reinach-bl/582508/,Im Reinacherhof 157,4153,Reinach,2810,4 ½,135 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/feldbergstrasse-137-4057-basel/597028/,Feldbergstrasse 137,4057,Basel,1990,4 ½,88 m²
1 Zimmer-Studio in Basel mieten,/de/wohnung/feldbergstrasse-137-4057-basel/597026/,Feldbergstrasse 137,4057,Basel,1160,1,29 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/feldbergstrasse-137-4057-basel/597025/,Feldbergstrasse 137,4057,Basel,1410,2 ½,48 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/feldbergstrasse-137-4057-basel/597024/,Feldbergstrasse 137,4057,Basel,1600,3 ½,72 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/feldbergstrasse-137-4057-basel/597023/,Feldbergstrasse 137,4057,Basel,1250,1 ½,36 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/dornacherstrasse-109-4053-basel/596994/,Dornacherstrasse 109,4053,Basel,1030,1,36 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/holbeinstrasse-56-4051-basel/596484/,Holbeinstrasse 56,4051,Basel,2770,2 ½,89 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/hochstrasse-51-4053-basel/594275/,Hochstrasse 51,4053,Basel,1960,3 ½,95 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/claragraben-82-4058-basel/540805/,Claragraben 82,4058,Basel,1470,3,77 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/wiesenstrasse-14-4057-basel/585247/,Wiesenstrasse 14,4057,Basel,1050,1 ½,42 m²
3 Zimmer-Wohnung in Riehen mieten,/de/wohnung/keltenweg-5-4125-riehen/575624/,Keltenweg 5,4125,Riehen,1250,3,68 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/markircherstrasse-22-4055-basel/576287/,Markircherstrasse 22,4055,Basel,1220,2,51 m²
2 ½ Zimmer-Wohnung in Reinach BL mieten,/de/wohnung/im-reinacherhof-167-4153-reinach-bl/592324/,Im Reinacherhof 167,4153,Reinach,1460,2 ½,60 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/schopfheimerstr-8-4058-basel/596408/,Schopfheimerstr. 8,4058,Basel,1520,3,75 m²
2 ½ Zimmer-Wohnung in Muttenz mieten,/de/wohnung/unterwartweg-15-4132-muttenz/596407/,Unterwartweg 15,4132,Muttenz,1420,2 ½,72 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/missionsstr-52-4055-basel/596402/,Missionsstr. 52,4055,Basel,880,1,35 m²
3 Zimmer-Wohnung in Binningen mieten,/de/wohnung/baslerstrasse-53-4102-binningen/592592/,Baslerstrasse 53,4102,Binningen,1410,3,58 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/schopfheimerstr-4-4058-basel/596192/,Schopfheimerstr. 4,4058,Basel,1220,2,61 m²
3 Zimmer-Wohnung in Bottmingen mieten,/de/wohnung/baslerstrasse-6-4103-bottmingen/596119/,Baslerstrasse 6,4103,Bottmingen,1400,3,65 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/lehenmattstrasse-324-4052-basel/596012/,Lehenmattstrasse 324,4052,Basel,1045,2,52 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/allschwilerplatz-11-4055-basel/595809/,Allschwilerplatz 11,4055,Basel,1590,3,78 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/baldeggerstrasse-58-4052-basel/594196/,Baldeggerstrasse 58,4052,Basel,2230,3,89 m²
1 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/clarahofweg-47-4058-basel/594538/,Clarahofweg 47,4058,Basel,1590,1 ½,62 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/pfeffingerstrasse-55-4053-basel/595692/,Pfeffingerstrasse 55,4053,Basel,1475,2,62 m²
3 Zimmer-Wohnung in Reinach mieten,/de/wohnung/weiherweg-12-4153-reinach/530710/,Weiherweg 12,4153,Reinach,1430,3,60 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/tangentenweg-56-4058-basel/595590/,Tangentenweg 56,4058,Basel,1960,3 ½,70 m²
2 ½ Zimmer-Wohnung in Allschwil mieten,/de/wohnung/belchenring-37-4123-allschwil/547485/,Belchenring 37,4123,Allschwil,1481,2 ½,60 m²
2 ½ Zimmer-Wohnung in Muttenz mieten,/de/wohnung/st-jakob-str-69-4132-muttenz/581208/,St. Jakob-Str. 69,4132,Muttenz,1620,2 ½,57 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/steinengraben-67-4051-basel/585327/,Steinengraben 67,4051,Basel,1590,3,64 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/pfeffingerstrasse-4053-basel/595366/,Pfeffingerstrasse,4053,Basel,1530,3,65 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/kleinhuningerstrasse-136-4057-basel/595163/,Kleinhüningerstrasse 136,4057,Basel,1280,3 ½,NaN
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/guterstrasse-199-4053-basel/586824/,Güterstrasse 199,4053,Basel,1320,2 ½,48 m²
5 Zimmer-Wohnung in Basel mieten,/de/wohnung/4051-basel/594893/,no street available,4051,Basel,3530,5,120 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/ryffstrasse-50-4056-basel/594843/,Ryffstrasse 50,4056,Basel,970,1,30 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/sperrstrasse-43-4057-basel/597433/,Sperrstrasse 43,4057,Basel,1325,3,64 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/elsasserstrasse-107-4056-basel/594614/,Elsässerstrasse 107,4056,Basel,1370,2,45 m²
3 ½ Zimmer-Maisonette in Allschwil mieten,/de/wohnung/baselmattweg-142-152a-4123-allschwil/594582/,Baselmattweg 142-152a,4123,Allschwil,2020,3 ½,85 m²
1 Zimmer-Wohnung in Basel mieten,/de/wohnung/holeestrasse-95-4054-basel/594274/,Holeestrasse 95,4054,Basel,530,1,20 m²
4 Zimmer-Wohnung in Basel mieten,/de/wohnung/auberg-10-4051-basel/594017/,Auberg 10,4051,Basel,2235,4,102 m²
2 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/liestaleranlage-30-4052-basel/593867/,Liestaleranlage 30,4052,Basel,1570,2 ½,75 m²
2 Zimmer-Wohnung in Muttenz mieten,/de/wohnung/stockertstrasse-29-4132-muttenz/593722/,Stockertstrasse,4132,Muttenz,1115,2,50 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/oberwilerstrasse-159-4054-basel/593463/,Oberwilerstrasse 159,4054,Basel,1910,3,91 m²
4 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/holbeinstrasse-31-4051-basel/593330/,Holbeinstrasse 31,4051,Basel,2970,4 ½,109 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/spalenring-120-4055-basel/586814/,Spalenring 120,4055,Basel,1575,2,68 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/st-jakobsstrasse-193-4052-basel/593318/,St. Jakobsstrasse 193,4052,Basel,2209,3 ½,72 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/beim-goldenen-lowen-7-4052-basel/593271/,Beim Goldenen Löwen 7,4052,Basel,1830,3,76 m²
3 ½ Zimmer-Wohnung in Basel mieten,/de/wohnung/redingstrasse-14-4052-basel/593237/,Redingstrasse,4052,Basel,2325,3 ½,98 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/gasstrasse-71-4056-basel/582525/,Gasstrasse 71,4056,Basel,1305,2,64 m²
3 Zimmer-Wohnung in Basel mieten,/de/wohnung/kapellenstrasse-37-4052-basel/558729/,Kapellenstrasse 37,4052,Basel,1685,3,85 m²
3 ½ Zimmer-Wohnung in Allschwil mieten,/de/wohnung/lettenweg-113-4123-allschwil/581693/,Lettenweg 113,4123,Allschwil,1590,3 ½,73 m²
3 Zimmer-Wohnung in Oberwil BL mieten,/de/wohnung/unterm-stallen-10-4104-oberwil-bl/593156/,Unterm Stallen 10,4104,Oberwil,1400,3,59 m²
3 ½ Zimmer-Dachwohnung in Binningen mieten,/de/wohnung/tiefengrabenstrasse-36-4102-binningen/593109/,Tiefengrabenstrasse 36,4102,Binningen,1790,3 ½,88 m²
3 ½ Zimmer-Wohnung in Allschwil mieten,/de/wohnung/baslerstr-204-4123-allschwil/593103/,Baslerstr. 204,4123,Allschwil,2030,3 ½,73 m²
2 Zimmer-Wohnung in Basel mieten,/de/wohnung/fasanenstr-140-4058-basel/593015/,Fasanenstr. 140,4058,Basel,1330,2,48 m²
