Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Seftigenstrasse 21,3007,Bern,3,75 m²,1670
,3006,Bern,3 ½,78 m²,1630
Bernstrasse 46,3072,Ostermundigen,1 ½,42 m²,1050
Schenkstrasse 13,3008,Bern,2 ½,58 m²,1660
Thunstrasse 31,3005,Bern,4 ½,120 m²,2750
Nesslerenweg 112,3084,Wabern,4 ½,97 m²,2240
Mittelstrasse 40/42,3012,Bern,3 ½,77 m²,2400
Sonnenhofweg 25,3006,Bern,2 ½,55 m²,1470
Nesslerenweg 48,3084,Wabern,4 ½,94 m²,2000
Ostring 25,3006,Bern,1,34 m²,870
Rodtmattstrasse 46,3014,Bern,1 ½,30 m²,1025
Wiesenstrasse 40,3072,Ostermundigen,2 ½,,1530
Egghölzliweg 6 B,3074,Muri,5 ½,124 m²,2620
Elisabethenstrasse 10,3014,Bern,2 ½,,2250
Kirchstrasse 144,3084,Wabern,5,108 m²,2200
Sahlistrasse 47,3012,Bern,2 ½,,1715
Dorfbachstrasse 64,3098,Köniz,4,76 m²,1630
Seftigenstrasse 358,3084,Wabern,3 ½,91 m²,1750
Nesslerenweg 116,3084,Wabern,3 ½,84 m²,2000
Ostring 62,3006,Bern,3 ½,,1881
Nesslerenweg 82,3084,Wabern,4 ½,92 m²,2030
neufeldstrasse,3012,bern,2 ½,,1215
Holligenstrasse 109,3008,Bern,3,73 m²,1560
Alpenstrasse 121,3052,Zollikofen,3,67 m²,1490
Sandrainstrasse 97,3007,Bern,4,102 m²,2752
Alpenstrasse 107,3052,Zollikofen,3,69 m²,1540
Alpenstrasse 103,3052,Zollikofen,4 ½,105 m²,1930
Bolligenstr. 30,3006,Bern,3,88 m²,1818
Turbenweg 1 A,3073,Gümligen,2 ½,63 m²,1730
Flurweg56,3072,Ostermundigen,3,,1380
Bolligenstr.28b,3006,Bern,5 ½,148 m²,2850
Ankerstrasse 23,3006,Bern,2,54 m²,1290
Schulhausstr. 21,3302,Moosseedorf,5,105 m²,1607
Wankdorffeldstrasse 101,3014,Bern,1,19 m²,830
Fröschmattstrasse 26,3018,Bern,3,63 m²,1400
Beethovenstrasse 46,3073,Gümligen,3 ½,73 m²,1775
Melchtalstrasse 23,3014,Bern,3,61 m²,1428
Römerweg 1,3013,Bern,1,,760
Seftigenstrasse 336,3084,Wabern,4 ½,93 m²,1740
Pulverweg 40,3006,Bern,1 ½,,770
Pulverweg 42,3006,Bern,1,,594
Rosenweg 17,3007,Bern,3,70 m²,2070
Rosenweg 17,3007,Bern,3,70 m²,2025
Wabersackerstrasse  23,3097,Liebefeld,3 ½,75 m²,1760
Fischermättelistrasse 13,3008,Bern,3 ½,70 m²,1755
Bahnhofplatz 1,3066,Stettlen,3 ½,,1830
Häberlimatteweg 21,3052,Zollikofen,5 ½,132 m²,2750
Nobsstr. 18,3072,Ostermundigen,3 ½,64 m²,1490
Riedbachstr. 95,3027,Bern,3 ½,98 m²,2055
Alemannenstrasse 46,3018,Bern,3,67 m²,1440
Könizstrasse 190,3097,Liebefeld,2,47 m²,1005
Parkstrasse 11 A,3014,Bern,1,22 m²,840
Blockweg 8,3007,Bern,2,53 m²,1450
Stöckackerstrasse 110,3018,Bern,3 ½,65 m²,1556
Blankweg 24,3072,Ostermundigen,1,27 m²,950
,3007,Bern,3 ½,,1880
Papionallee 26a,3172,Niederwangen,2 ½,59 m²,1520
Morgartenstrasse 15,3014,Bern,4 ½,95 m²,2750
Morgartenstrasse 15,3014,Bern,2 ½,42 m²,1550
Morgartenstrasse 15,3014,Bern,4 ½,85 m²,2950
Klaraweg 39,3006,Bern,3,,1450
Lerchenweg 37,3012,Bern,2 ½,67 m²,1680
Stapfenackerstrasse 60,3018,Bern,2,40 m²,1175
Bonstettenstrasse 10,3012,Bern,2,55 m²,1440
,3006,bern,2,,500
Moosstrasse 15,3073,Gümligen,3,,1700
Dorfbachstrasse 58,3098,Köniz,4 ½,90 m²,1000
Egelgasse 66,3006,Bern,3,,1350
Hostettlerweg 2,3006,Bern,4 ½,129 m²,5170
Moserstrasse 48,3014,Bern,1 ½,100 m²,2262
Giacomettistrasse 31a,3006,Bern,3 ½,86 m²,1725
Ländlistrasse 12,3047,Bremgarten,4 ½,80 m²,1745
Eigerstr. 60,3007,Bern,2,55 m²,1745
Schwarzenburgstrasse 231,3098,Köniz,3 ½,79 m²,1711
Nesslerenweg 54,3084,Wabern,3 ½,82 m²,1905
Dammweg 27,3013,Bern,3 ½,70 m²,1910
Unterdorfstr. 45,3072,Ostermundigen,3 ½,85 m²,1755
Cäcilienstr. 7a,3007,Bern,3 ½,88 m²,1660
Forelstr. 46,3072,Ostermundigen,3 ½,81 m²,1462
Im Färich 3,3038,Kirchlindach,5 ½,110 m²,1900
Sulgeneckstrasse 38,3007,Bern,2 ½,,1931
Gäbelbachstrasse 47,3027,Bern,2 ½,,930
Hagwiesenstrasse 17,3122,Kehrsatz,2 ½,,1200
Kirchstrasse 144,3084,Wabern,4 ½,100 m²,1970
Unterdorfstrasse 19,3072,Ostermundigen,3 ½,85 m²,1560
Unterdorfstrasse 19,3072,Ostermundigen,2 ½,63 m²,1310
Mühledorfstrasse 2A,3018,Bern,2 ½,51 m²,1406
Tscharnerstrasse 32,3007,Bern,2,,965
Papiermühlestr. 2 B,3013,Bern,3 ½,75 m²,1720
Fuchsweg 1,3097,Liebefeld,2,,1400
Buristr. 10,3006,Bern,4 ½,96 m²,2150
Buristr. 8,3006,Bern,3 ½,78 m²,1880
Brückfeldstr. 19,3012,Bern,1,24 m²,1000
Rathausgasse 50,3011,Bern,2,,1500
Papiermühlestr. 2 B,3013,Bern,2,55 m²,1445
Viktoriastr. 21 (Süd),3013,Bern,2 ½,56 m²,1902
Alemannenstrasse 43,3018,Bern,4,,1580
Brunngasse 30,3011,Bern,1 ½,39 m²,1590
Waldheimstrasse 14,3012,bern,1,30 m²,1190
Schlossstrasse 102,3008,Bern,3,,1460
Zieglerstrasse 36,3007,Bern,1,32 m²,970
Scheuermattweg 10,3007,Bern,1,24 m²,860
Münstergasse 55,3011,Bern,2,60 m²,1465
Heckenweg 59,3007,Bern,4,90 m²,1850
,3027,Bern,2 ½,84 m²,1082
Rodtmattstrasse 77,3014,Bern,2,,1370
Brückfeldstr. 19,3012,Bern,1,26 m²,1000
Kramgasse 74,3011,Bern,1 ½,38 m²,1700
Husmattstrasse 25,3123,Belp,5 ½,109 m²,1980
,3005,bern,3 ½,90 m²,1800
Werkgasse 56,3018,Bern,1,23 m²,990
Hintere Engehaldestrasse 12,3004,Bern,3 ½,104 m²,1890
Im Aespliz 8,3063,Ittigen,4,101 m²,1790
Winkelriedstr. 13,3014,Bern,3 ½,66 m²,1505
Brunngasse 50,3011,Bern,1,,800
Murtenstrasse 143B,3008,Bern,2,50 m²,1250
Schürlirain 44,3172,Niederwangen,1 ½,40 m²,990
Giacomettistrasse 24,3006,Bern,1,12 m²,250
Steinhöltzliweg 11,3097,Liebefeld,1 ½,,800
Kappelisackerstrasse 125,3063,Ittigen,2,53 m²,
Ostring 23,3006,Bern,3 ½,94 m²,1800
Europaplatz 1A,3008,Bern,2 ½,63 m²,1950
Bahnstrasse 99,3008,Bern,3 ½,50 m²,1580
Brünnenstrasse 45,3018,Bern,2,42 m²,1240
,3123,belp,4 ½,120 m²,850
Aarhaldenstrasse 2,3052,Zollikofen,4,91 m²,1750
Chaumontweg 20,3095,Spiegel,1,,1401
Worbstrasse 95,3074,Muri,3,,1590
Neuhausweg 23,3027,Bern,3 ½,73 m²,1390
Alpenstrasse 35,3084,Wabern,5 ½,152 m²,4600
Elfenstrasse 3,3006,Bern,5,146 m²,4800
,3027,Bern,3 ½,87 m²,2160
,3012,Bern,2,46 m²,1400
Haldenstrasse 143,3014,Bern,2,50 m²,1345
Landoltstrasse 60,3007,Bern,2,63 m²,1300
Gesellschaftsstr. 38,3012,Bern,1,30 m²,1020
Falkenweg 8,3012,Bern,1,,980
Rathausgasse 52,3011,Bern,2,,1550
Käsereistrasse 9,3145,Niederscherli,3 ½,70 m²,1480
Lerberstrasse 30,3013,Bern,6,,4290
Spühlihalde 15,3098,Köniz,3 ½,91 m²,1750
Winkelriedstr. 13,3014,Bern,3 ½,66 m²,1511
Bümplizstrasse,3027,bern,2 ½,,1445
Bümplizstrasse 48,3027,Bern,3,61 m²,1395
Talbodenstrasse 48,3098,Schliern,3 ½,,1359
Mühledorfstrasse 2,3018,Bern,1,27 m²,920
Sandstrasse 114,3302,Moosseedorf,3 ½,77 m²,1870
Bleichestrasse 43,3066,Stettlen,2 ½,56 m²,1230
Längenbühlstrasse 3,3302,Moosseedorf,3 ½,63 m²,1390
Lagerweg 6,3013,Bern,1,30 m²,860
Zähringerstr. 25,3012,Bern,2 ½,78 m²,1990
Blankweg 20,3072,Ostermundigen,4 ½,80 m²,1816
Einsteinstrasse 7,3005,Bern,2 ½,,1580
Brunngasse 30,3011,Bern,1 ½,53 m²,1970
Froschweg 25,3098,Schliern,3 ½,71 m²,1580
Froschweg 25,3098,Schliern,3 ½,71 m²,1520
Bitziusstrasse 51,3006,Bern,4 ½,104 m²,2800
Talbodenstrasse 50,3098,Schliern,3 ½,,1165
Weltpoststrasse 3B,3015,Bern,2 ½,66 m²,1870
Wiesenstrasse 10,3072,Ostermundigen,2,54 m²,1515
Länggassstrasse 108,3012,Bern,2 ½,,1600
Schosshaldentrasse 20B,3006,Bern,2 ½,,1215
Nobsstrasse 20,3072,Ostermundigen,3 ½,61 m²,1270
Hintere Engehaldestrasse 12,3004,Bern,2 ½,65 m²,1540
Schaufelweg 21,3098,Schliern,3 ½,82 m²,1795
Bleichestrasse 61,3066,Stettlen,4 ½,101 m²,1590
Muesmattstrasse 48,3012,Bern,1,23 m²,880
Riedbachstrasse,3027,Bern,2 ½,,1400
Mühledorfstrasse 1,3018,Bern,4 ½,106 m²,2900
Kranichweg 3,3074,Muri,3 ½,80 m²,1790
Kirchstrasse 5 a,3097,Liebefeld,3,60 m²,1490
Gerbestrasse 9,3072,Ostermundigen,3 ½,70 m²,1530
Bernstrasse 121,3072,Ostermundigen,4 ½,104 m²,2490
Bernstrasse 121,3072,Ostermundigen,3 ½,71 m²,1740
Dr. Zuber-Strasse 2a,3072,Ostermundigen,2 ½,52 m²,1370
,3098,Schliern,1 ½,36 m²,960
Junkerngasse 20,3011,Bern,4,,3350
,3013,Bern,1 ½,,1010
Weltpoststrasse 3A,3015,Bern,4 ½,102 m²,2620
Froschweg 11,3098,Schliern,4 ½,107 m²,2010
Schaufelweg 114,3098,Schliern,4 ½,80 m²,1740
Schloss-Strasse 143,3008,Bern,3,64 m²,1450
Bachstrasse 6,3072,Ostermundigen,2 ½,51 m²,1290
Eigerweg 14,3073,Gümligen,1,,760
Europaplatz 1B,3008,Bern,2 ½,88 m²,2415
Wankdorffeldstrasse 101,3014,Bern,2,64 m²,1620
Bümplizstrasse 200,3018,Bern,2,,1190
Kräygenweg 89,3074,Muri,4 ½,170 m²,2950
Riedbachstrasse 77,3027,Bern,2 ½,54 m²,1470
Europaplatz 1B,3008,Bern,2 ½,88 m²,2415
Looslistrasse 43,3027,Bern,1,30 m²,1000
Bleichestrasse 7,3066,Stettlen,4 ½,94 m²,1950
Lindenhofstrasse 22,3048,Worblaufen,3 ½,,1470
Hirschengraben 6,3011,Bern,3 ½,107 m²,2570
Eigerstr. 58,3007,Bern,2,43 m²,1415
,3011,Bern,3 ½,95 m²,1920
Dr. Zuber-Strasse 4B,3072,Bern,5 ½,,715
Talbodenstrasse 84,3098,Schliern,4 ½,,1930
,3037,Herrenschwanden,2 ½,74 m²,1750
Weissenbühlweg 40 B,3007,Bern,4 ½,104 m²,2440
Flurweg 64,3072,Ostermundigen,3,77 m²,1560
Bümplizstrasse 69,3018,Bern,1,38 m²,1300
Schwanengasse 5/7,3011,Bern,2 ½,78 m²,1905
,3063,Ittigen,4 ½,,850
Sahlistrasse 46,3012,Bern,2,,1470
Bierhübeliweg 35,3012,Bern,4,115 m²,2650
Murtenstrasse 143 B,3008,Bern,2,39 m²,1350
Brunngasse 30,3011,Bern,1 ½,33 m²,1470
Köniztalstrasse 8,3098,Köniz,4 ½,81 m²,1760
Bümplizstrasse,3027,Bern,3 ½,,1430
Jurastrasse 17,3013,Bern,3,70 m²,1780
Oberriedstrasse,3174,Thörishaus,3 ½,,1330
Wangenthalstrasse,3172,Niederwangen,3 ½,86 m²,1550
Fuchsacker 28,3124,Belpberg,4 ½,140 m²,1300
Junkerngasse 23,3011,Bern,4,125 m²,3190
Marktgasse 17,3011,Bern,2,68 m²,2330
Häberlimatteweg 11,3052,Zollikofen,3 ½,92 m²,1760
Effingerstr. 109,3008,Bern,2 ½,64 m²,1360
Altenbergstrasse 80,3013,Bern,2 ½,58 m²,1690
Monreposweg 12,3008,Bern,3,,1650
Kranichweg 1,3074,Muri,4 ½,97 m²,2100
Meienstrasse,3052,Zollikofen,3,65 m²,1297
untere Zollgasse 135,3063,Ittigen,2 ½,,2050
Jennershausweg 29,3098,Köniz,3 ½,80 m²,1540
Brüggbühlstrasse 45,3172,Niederwangen,4 ½,,1820
Hohle Gasse 10,3095,Spiegel,2,53 m²,1310
Villettengässli 24b,3074,Muri,4 ½,135 m²,3590
Huberstrasse 14,3008,Bern,2,51 m²,1215
Jurastrasse 65,3063,Ittigen,2 ½,84 m²,1510
Sandstrasse 106,3302,Moosseedorf,3 ½,81 m²,1890
Forelstr. 46,3072,Ostermundigen,3 ½,81 m²,1554
Bernapark 23,3066,Stettlen,2 ½,51 m²,1760
Hintere Engehaldestrasse 12,3004,Bern,2 ½,86 m²,1625
Wylerstrasse 71,3014,Bern,2,56 m²,1450
Weissensteinstrasse 49 D,3007,Bern,2,55 m²,1360
Fabrikstrasse 29 B,3012,Bern,2,52 m²,1390
Waldmeisterstrasse 44,3018,Bern,2 ½,53 m²,1420
Thunstrasse 192,3074,Muri,2 ½,45 m²,1211
Schwarzenburgstrasse 753,3145,Niederscherli,4 ½,,1710
Turbenweg 1 B,3073,Gümligen,3 ½,99 m²,2935
Holligenstrasse 35,3008,Bern,3,75 m²,1710
Bleikenmattstrasse 3,3122,Kehrsatz,3 ½,85 m²,1760
Weidgasse 10,3018,Bern,3 ½,75 m²,1510
Alpenblickstrasse 16,3052,Zollikofen,3,87 m²,1430
Breitenrainstrasse 27,3013,Bern,3 ½,75 m²,1990
Aarestrasse 30,3052,Zollikofen,3,,1330
Weissenbühlweg 40 B,3007,Bern,2 ½,65 m²,1730
Thunstrasse 192,3074,Muri,3,72 m²,1440
Rodtmattstrasse 55,3014,Bern,3,,1750
Obere Zollgasse 60,3072,Ostermundigen,3,,1250
Obere Zollgasse 51A,3072,Ostermundigen,2 ½,,1360
Zieglerstrasse 36,3007,Bern,1,31 m²,935
Schwarzenburgstrasse 753,3145,Niederscherli,3 ½,,1390
Nelkenweg 3,3006,Bern,3,,2390
Nelkenweg 3,3006,Bern,3,,2190
Meielenfeldweg 1,3052,Zollikofen,1,40 m²,1100
Hühnerbühlstrasse 20,3065,Bolligen,3 ½,84 m²,1670
Schwarzenburgstrasse 753,3145,Niederscherli,3 ½,,1390
Wilkerstrasse 76,3097,Liebefeld,3 ½,80 m²,1990
,3012,Bern,2 ½,65 m²,1650
Schulhausstr. 21,3302,Moosseedorf,3,79 m²,1285
Haselholzweg 24,3098,Schliern,2 ½,,1270
,3302,moosseedorf,3 ½,70 m²,1500
Zypressenstrasse 40,3018,Bern,3,68 m²,1160
Dettigenstrasse 3,3037,Herrenschwanden,3 ½,98 m²,2310
Kräyigenweg 93,3074,Muri,3 ½,92 m²,2080
Dettigenstrasse 3,3037,Herrenschwanden,4 ½,153 m²,3195
Jurastrasse 51,3063,Ittigen,2 ½,96 m²,1750
Lagerweg 4,3013,Bern,2 ½,50 m²,1430
Schulhausstrasse 27,3052,Zollikofen,3 ½,86 m²,2330
Unterdorfstrasse 37,3072,Ostermundigen,2 ½,56 m²,1630
Nüchternweg 12,3038,Kirchlindach,2,55 m²,1600
Im Baumgarten 2,3066,Stettlen,4 ½,102 m²,2050
Jurastrasse 25,3063,Ittigen,2 ½,63 m²,1330
Effingerstrasse 41d,3008,Bern,2 ½,88 m²,2230
Effingerstrasse 41d,3008,Bern,4 ½,192 m²,4740
Effingerstrasse 41d,3008,Bern,3 ½,118 m²,2990
Lutertalstrasse 39,3065,Bolligen,3,84 m²,1690
Oberwohlenstrasse 30,3033,Wohlen,4 ½,137 m²,4020
Wabersackerstr. 79,3097,Liebefeld,3,69 m²,1580
Falkenweg 8,3012,Bern,2 ½,,1590
Schützenrain 9,3042,Ortschwaben,5 ½,116 m²,1880
Neuhausweg 21,3027,Bern,3,,1495
Kranichweg 3,3074,Muri,4 ½,97 m²,2110
,3004,Bern,3,60 m²,1610
Dettigenstrasse  1b,3037,Herrenschwanden,2 ½,,1490
Wangenstrasse 96,3018,Bern,3,72 m²,1500
Blinzernfeldweg 12,3098,Köniz,3,65 m²,1490
waldheimstrasse 6,3012,Bern,1,,1300
Dettigenstrasse 1b,3037,Herrenschwanden,5 ½,138 m²,3210
Dettigenstrasse 1c,3037,Herrenschwanden,3 ½,82 m²,1990
Schönburgstrasse 19,3013,Bern,3 ½,70 m²,1995
Scheyenholzstrasse 15,3075,Rüfenacht,2 ½,,1250
Asterweg 20,3004,Bern,3 ½,90 m²,1950
Schwarzenburgstr. 73 / Geb. A,3097,Liebefeld,2 ½,49 m²,1640
Spühlirain 33,3098,Schliern,3 ½,,1380
Nordweg 6,3013,Bern,3 ½,85 m²,2480
Schwarzenburgstrasse,3147,Mittelhäusern,4 ½,,1000
Schwarzenburgstr. 73 / Geb. A,3097,Liebefeld,2 ½,49 m²,1590
Alpenstrasse 59,3052,Zollikofen,4 ½,105 m²,2040
Zeughausgasse 27,3011,Bern,2,65 m²,2185
Aarbergergasse 57,3011,Bern,2 ½,99 m²,2375
Neuhausweg 25,3027,Bern,4 ½,113 m²,775
Schönauweg,3007,Bern,3 ½,77 m²,1499
Thunstrasse 188,3074,Muri,5 ½,162 m²,2635
Birkenweg 30,3123,Belp,4 ½,,1490
Papillonallee 9-21,3172,Niederwangen,3 ½,86 m²,1860
Papillonallee 9-21,3172,Niederwangen,2 ½,50 m²,1525
Papillonallee 9-21,3172,Niederwangen,1 ½,42 m²,1180
Jurastrasse 57,3063,Ittigen,4 ½,100 m²,1900
Jurastrasse 51,3063,Ittigen,4 ½,98 m²,1830
Jurastrasse 41,3063,Ittigen,4 ½,162 m²,2640
Pappelweg 8,3072,Ostermundigen,3 ½,64 m²,1460
Bleichestrasse 11,3066,Stettlen,4 ½,94 m²,1950
Laupenackerstr. 18,3302,Moosseedorf,3 ½,76 m²,1480
Kirchstrasse 2-8 / 24-26,3097,Liebefeld,,139 m²,2526
Aegertenstrasse 57,3005,Bern,4,,2790
Aarbergergasse 35,3011,Bern,2 ½,,1545
Bernstrasse 25,3072,Ostermundigen,4 ½,108 m²,3500
Nordweg 12,3013,Bern,3 ½,90 m²,2620
Bernstrasse 15,3072,Ostermundigen,3,64 m²,1550
Könizstrasse 77/79,3008,Bern-Fischermätteli,2,53 m²,1500
Köniztalstrasse 10,3098,Köniz,4 ½,81 m²,1760
Kornhausplatz 7,3011,Bern,3 ½,118 m²,3390
Flurweg 12,3072,Ostermundigen,3 ½,81 m²,1610
Brüggliweg 9,3073,Gümligen,3,54 m²,1275
Schulhausstr. 11,3302,Moosseedorf,4,91 m²,1469
Holligenstrasse 121,3008,Bern,3,73 m²,1545
Hohburgstrasse 19,3123,Belp,4 ½,79 m²,1600
Brunnenstrasse 19,3123,Belp,4 ½,,1670
Bernstrasse 25,3072,Ostermundigen,3 ½,80 m²,2540
Schulhausstrasse 27a,3052,Zollikofen,3 ½,90 m²,2270
Schulhausstrasse 27,3052,Zollikofen,3 ½,94 m²,2260
Schulhausstrasse 27,3052,Zollikofen,3 ½,99 m²,2130
Laupenackerstr. 14,3302,Moosseedorf,4 ½,91 m²,1600
Altikofenstrasse 8,3048,Worblaufen,3 ½,79 m²,1536
Bernstrasse 25,3072,Ostermundigen,3 ½,82 m²,2555
Trüsselstrasse 4,3014,Bern,1 ½,24 m²,2310
Lutertalstr. 60,3065,Bolligen,4 ½,141 m²,2090
Aarestr. 2,3052,Zollikofen,3 ½,77 m²,1510
Gerliswilstrasse 35,6020,Emmenbrücke,1,27 m²,690
Militärstrasse 37,6003,Luzern,3,74 m²,1570
Schauenseestr. 4,6010,Kriens,4,90 m²,1600
Mozartstr. 3,6004,Luzern,4,87 m²,1680
,6004,Luzern,3,75 m²,1940
Kellerstrasse 19,6005,Luzern,4,,1570
Längweiherstr. 22,6014,Luzern,3 ½,75 m²,1540
Wichlernstrasse 14,6010,Kriens,4 ½,103 m²,1900
Zihlmattweg 44,6005,Luzern,3 ½,76 m²,2150
Zihlmattweg 44,6005,Luzern,2 ½,46 m²,1620
Luzernerstrasse 141m,6014,Littau-Luzern,3 ½,88 m²,1885
Moosstr. 35,6033,Buchrain,4 ½,104 m²,1764
Haldenstrasse 5,6006,Luzern,4,,2950
Gütschstrasse 1,6003,Luzern,2,63 m²,1350
Rössligasse 13,6004,Luzern,1 ½,45 m²,1150
Eschenweg 12,6030,Ebikon,3 ½,,1490
Gartenweg 5,6032,Emmen,3 ½,87 m²,1810
Sagenmattstrasse 22,6003,Luzern,3,,1450
Winkelriedstrasse 37,6003,Luzern,2 ½,60 m²,1630
Kauffmannweg 28,6003,Luzern,2 ½,72 m²,1780
Abendweg,6006,Luzern,2,51 m²,1075
Adligenstrasse 1,6020,emmenbrücke,3 ½,,1468
Zentralstr. 15,6030,Ebikon,3 ½,80 m²,1760
Ebisquare-Str. 7,6030,Ebikon,2 ½,63 m²,1530
Feldbreite Emmen,6032,Emmen,2 ½,63 m²,1450
Wichlernstrasse 3a,6010,Kriens,4 ½,106 m²,1950
Unter Sidhalden,6010,Kriens,2 ½,65 m²,1670
Lauerzweg 1a,6010,Kriens,2 ½,68 m²,1690
,6010,Kriens,3 ½,117 m²,2340
Reckenbühlstrasse 6,6005,Luzern,3,,1600
Salzfassstrasse 8a,6006,Luzern,3 ½,,3240
Gemeindehausplatz 13,6048,Horw,2 ½,67 m²,1760
Adligenstrasse 7,6020,Emmenbrücke,4 ½,84 m²,1720
Unter-Spitalhof 4,6032,Emmen,4 ½,96 m²,1805
Horwerstrasse 32,6005,Luzern,3 ½,100 m²,2510
Erlenstrasse 42,6020,Emmenbrücke,3 ½,78 m²,1450
Feldmühlestr. 20,6010,Kriens,4,70 m²,1530
Altegghalde 1,6045,Meggen,4 ½,,3490
Felsental 7,6006,Luzern,3 ½,55 m²,1150
Wichlernstrasse 8,6010,Kriens,4 ½,103 m²,1860
Bifangstr. 14,6048,Horw,3 ½,68 m²,1480
Maihofstrasse 4,6004,Luzern,2 ½,104 m²,2000
Sempacherstrasse 34,6003,Luzern,1,25 m²,765
Schädrütistrasse,6006,Luzern,5 ½,12 m²,850
Bruchstrasse 2,6003,Luzern,2,85 m²,2130
,6023,Rothenburg,1,27 m²,628
Winkelriedstrasse 56,6003,Luzern,2 ½,57 m²,1900
Bleicherstrasse 29,6003,Luzern,3 ½,81 m²,1710
Biregghang 6,6005,Luzern,3 ½,87 m²,1780
Gärtnerweg 1,6010,Kriens,2 ½,60 m²,1330
Habsburgerstrasse 11,6003,Luzern,3,72 m²,1540
Hauptstrasse 17,6015,Luzern,3 ½,,1370
Bergstrasse 13,6004,Luzern,2 ½,90 m²,1950
Mühlemattstr. 9,6004,Luzern,1,24 m²,900
Spitzberglistrasse 6,6048,Horw,3 ½,80 m²,1590
Widenrain 6,6363,Obbürgen,2 ½,34 m²,1740
,6003,Luzern,1 ½,30 m²,1192
,6005,Luzern,2 ½,48 m²,1730
Mühlematt 11,6020,Emmenbrücke,3,61 m²,1350
Seefeldrain 3,6006,Luzern,4 ½,103 m²,2130
Seefeldstrasse 8,6006,Luzern,3 ½,84 m²,2120
Seefeldstrasse 8,6006,Luzern,4 ½,100 m²,2220
Imfangring 16,6005,Luzern,4 ½,92 m²,1690
Kreuzhausweg 7,6010,Kriens,4 ½,81 m²,1575
Maihofstrasse 4,6004,Luzern,3,90 m²,1930
Sempacherstrasse 19,6003,Luzern,3,,1820
Feldbreite Emmen,6032,Emmen,2 ½,60 m²,1410
Bruchstrasse 24,6003,Luzern,2 ½,62 m²,1500
Centralstrasse 5,6020,Emmenbrücke,1 ½,,850
Untere Wiese 7,6020,Emmenbrücke,2 ½,61 m²,1480
Untere Wiese 7,6020,Emmenbrücke,2 ½,61 m²,1430
Schlossweg 14,6010,Kriens,3,60 m²,1450
Brisenstrasse 7,6020,Emmenbrücke,3 ½,82 m²,1950
Lindenfeldring 6,6032,Emmen,1 ½,30 m²,1090
Lindenstrasse 34,6015,Luzern,2 ½,50 m²,1260
Würzenbachstr. 34,6006,Luzern,3,64 m²,1530
Habsburgerstrasse 37,6003,Luzern,4 ½,115 m²,2300
Gallusstrasse 10,6010,Kriens,3 ½,74 m²,1790
Am Mattenhof 4a,6010,Kriens,3 ½,84 m²,2045
Schönbühlring 3,6005,Luzern,3 ½,71 m²,1750
Winkelriedstrasse,6003,Luzern,2 ½,58 m²,1450
Wyssmattstrasse 6,6010,Kriens,1,,2500
Wyssmattstrasse 6,6010,Kriens,,,1300
Maihofmatte 8,6006,Luzern,3 ½,68 m²,1700
Wyssmattstrasse,6010,Kriens,1,,1100
Luzernerstrasse 141d,6014,Littau-Luzern,3 ½,88 m²,1955
Wichlernweg 11,6010,Kriens,4,84 m²,1660
Wichlernstrasse 14,6010,Kriens,2 ½,65 m²,1480
Feldhöfli 3,6012,Obernau,4 ½,102 m²,1980
Burgerstrasse 6,6003,Luzern,2 ½,57 m²,1140
Sonnenbergstrasse 17,6052,Hergiswil,3 ½,,1540
Brünigstrasse 11,6005,Luzern,2,40 m²,1390
Benziwil 47,6020,Emmenbrücke,4 ½,108 m²,1830
Ennetweg 4,6015,Luzern,3 ½,79 m²,1990
Blattenmoosstrasse 4,6014,Luzern,2,60 m²,1150
Würzenbachhalde 7,6006,Luzern,2,33 m²,940
Seefeldstrasse 17,6006,Luzern,3 ½,72 m²,1710
St. Karliquai 9,6004,Luzern,1 ½,,1225
Wichlernstrasse 6,6010,Kriens,3 ½,80 m²,1730
Lauerzweg 1a,6010,Kriens,1 ½,52 m²,1350
Obere Erlen 31b,6020,Emmenbrücke,2 ½,,1242
Neuenkirchstrasse 7,6020,Emmenbrücke,2 ½,52 m²,1540
Baselstrasse 43,6003,Luzern,4,66 m²,1680
Baselstrasse 43,6003,Luzern,3,55 m²,1530
Roseneggweg 3,6005,Luzern,2,43 m²,1180
Sonnhalde,6013,Eigenthal,2 ½,65 m²,1300
Sternmattstrasse 119,6005,Luzern,2 ½,,1850
Wichlernstrasse 3a,6010,Kriens,2 ½,52 m²,1410
Brunnmattstrasse 18,6048,Horw,1,34 m²,790
Geissmattstasse 60,6004,Luzern,2,60 m²,1340
Rudolfstrasse 1,6023,Rothenburg,3,70 m²,1350
Am Mattenhof 14,6010,Kriens,3 ½,89 m²,2200
Meiersmattstrasse 21a,6043,Adligenswil,6 ½,160 m²,3800
Eschenstrasse 12,6020,Emmen,3 ½,72 m²,1550
Kehlhofrain,6043,Adligenswil,2 ½,59 m²,1347
Matthofring 24,6005,Luzern,3 ½,70 m²,1715
Matthofring 22,6005,Luzern,3 ½,70 m²,1715
Längweiherstr. 16,6014,Luzern,3 ½,75 m²,1560
Mühlematt  7,6020,Emmenbrücke,4,72 m²,1480
Haslirainstrasse 10,6035,Perlen,4 ½,101 m²,2040
Ruopigenstrasse 8,6015,Luzern,1,27 m²,755
Ruopigenstrasse 8,6015,Luzern,1,27 m²,755
