index_scraped,Strasse,Nummer,Letter,Postleitzahl,Ort,Anzahl Zimmer,Flaeche m2,Preis CHF,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
518_home,aemtlerstr.,86,,8003,zuerich,2.5,55,3530,20458,13644,6814,10342,10116,1102,801,605,512,727,2464,3465,2618,1888,1369,1179,990,828,606,493,349,218,154,90,13632,4694,384,1587,1,137,21
516_home,aemtlerstr.,86,,8003,zuerich,2.5,49,3330,20458,13644,6814,10342,10116,1102,801,605,512,727,2464,3465,2618,1888,1369,1179,990,828,606,493,349,218,154,90,13632,4694,384,1587,1,137,21
1554_immo,aeschenvorstadt,48,/50,4051,basel,2.5,79,2470,9454,6096,3358,4616,4838,358,318,274,282,383,726,895,817,699,652,690,674,564,456,473,432,309,233,219,4881,2979,499,1013,2,71,9
1071_immo,aeschenvorstadt,24,,4051,basel,3.5,130,2930,9454,6096,3358,4616,4838,358,318,274,282,383,726,895,817,699,652,690,674,564,456,473,432,309,233,219,4881,2979,499,1013,2,71,9
377_flat,aeusserelangeheid,3,,4142,muenchenstein,3.0,62,1400,12059,8898,3161,5906,6153,592,575,577,521,671,742,818,756,778,792,957,976,744,614,593,489,368,301,195,5166,5091,726,1025,0,44,7
878_home,affolternstr.,115,,8050,zuerich,3.0,83,2046,29132,18270,10862,14904,14228,1640,1461,1297,1213,1543,3236,3651,2981,2439,1974,1729,1519,1111,868,724,619,482,370,275,16196,9608,892,2261,3,152,20
863_home,affolternstr.,10,,8050,zuerich,1.5,36,1660,29132,18270,10862,14904,14228,1640,1461,1297,1213,1543,3236,3651,2981,2439,1974,1729,1519,1111,868,724,619,482,370,275,16196,9608,892,2261,3,152,20
889_home,affolternstr.,139,,8050,zuerich,2.5,65,2295,29132,18270,10862,14904,14228,1640,1461,1297,1213,1543,3236,3651,2981,2439,1974,1729,1519,1111,868,724,619,482,370,275,16196,9608,892,2261,3,152,20
2624_home,agnesstr.,37,,8406,winterthur,1.0,22,1100,13587,9203,4384,6879,6708,772,755,695,595,898,1240,1311,1196,1020,938,947,875,751,501,402,324,215,109,43,6789,5202,411,1152,1,28,4
2268_immo,ahornstr.,8,,6003,luzern,3.0,,1600,16950,11761,5189,8570,8380,675,446,383,564,1397,2447,2346,1669,1144,998,963,980,791,614,533,392,318,180,110,10712,4239,512,1414,1,62,10
1372_immo,ahornstr.,3,,4055,basel,3.0,67,1570,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1653_home,ahornstr.,3,,4055,basel,3.5,76,1590,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1454_flat,ahornweg,10,,8134,adliswil,3.5,102,2510,19045,11737,7308,9522,9523,1073,1056,939,811,833,1137,1517,1682,1570,1379,1313,1242,944,820,820,803,554,369,183,8436,8169,845,1511,2,67,15
1258_immo,albertschweitzer-str.,10,,4059,basel,2.0,65,1520,6596,5033,1563,3137,3459,351,479,427,350,275,150,245,364,475,522,531,498,405,376,344,292,218,155,139,2789,2976,373,430,0,27,1
2070_home,albertschweitzer-str.,10,,4059,basel,3.0,79,1650,6596,5033,1563,3137,3459,351,479,427,350,275,150,245,364,475,522,531,498,405,376,344,292,218,155,139,2789,2976,373,430,0,27,1
672_home,albisstr.,164,,8038,zuerich,3.0,,1800,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
123_immo,albisstr.,161,,8038,zuerich,2.5,65,2620,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
57_immo,albisstr.,66,,8038,zuerich,3.5,85,2740,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
1543_flat,albisstr.,29,,8038,zuerich,2.5,,2000,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
2666_home,albrechststr.,10,,8406,winterthur,5.5,,2950,13587,9203,4384,6879,6708,772,755,695,595,898,1240,1311,1196,1020,938,947,875,751,501,402,324,215,109,43,6789,5202,411,1152,1,28,4
2633_home,albrechtstr.,6,a,8406,winterthur,1.5,35,1240,13587,9203,4384,6879,6708,772,755,695,595,898,1240,1311,1196,1020,938,947,875,751,501,402,324,215,109,43,6789,5202,411,1152,1,28,4
1381_flat,albulastr.,42,,8048,zuerich,3.5,100,3249,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
108_immo,albulastr.,42,,8048,zuerich,3.5,100,2770,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
1346_flat,albulastr.,42,,8048,zuerich,3.5,91,3750,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
808_home,albulstr.,34,,8048,zuerich,2.5,63,2700,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
2036_home,alemannengasse,42,,4058,basel,2.5,53,2050,25949,15973,9976,12917,13032,1401,1212,1036,988,1187,2099,2639,2512,2015,1573,1655,1609,1395,1203,1092,915,681,442,295,12920,9307,1161,2457,3,92,9
491_immo,alemannenstr.,47,,3018,bern,2.5,63,1390,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
554_immo,alemannenstr.,43,,3018,bern,3.0,68,1470,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
556_flat,alemannenstr.,43,,3018,bern,4.0,,1580,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
583_immo,alemannenstr.,46,,3018,bern,3.0,67,1440,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
827_immo,alleeweg,3,,3006,bern,3.5,,1850,18851,15242,3609,8814,10037,923,956,907,782,756,1161,1349,1518,1376,1332,1365,1408,1162,967,940,793,528,360,268,9414,6760,843,1729,0,91,13
2732_home,allmannstr.,16,,8400,winterthur,2.5,66,1790,40541,31889,8652,19923,20618,1972,1774,1706,1554,2258,4048,4257,3338,2832,2529,2738,2590,2036,1640,1453,1299,1073,827,617,21350,13547,1903,3606,1,117,17
2492_home,allmannstr.,16,,8400,winterthur,2.5,,1790,40541,31889,8652,19923,20618,1972,1774,1706,1554,2258,4048,4257,3338,2832,2529,2738,2590,2036,1640,1453,1299,1073,827,617,21350,13547,1903,3606,1,117,17
1478_flat,allmendboden,25,,8700,kuesnacht,3.5,77,2380,14012,10117,3895,6662,7350,721,777,813,654,540,579,748,986,992,1112,1083,1012,825,650,687,704,547,339,243,6050,5977,764,1165,1,45,10
2315_home,allmendstr.,7,,3014,bern,3.5,,1650,13953,11258,2695,6781,7172,706,538,482,451,772,1485,1729,1433,1170,876,825,878,674,526,431,356,271,212,138,8505,3702,489,1199,0,49,9
2321_home,allmendstr.,7,,3014,bern,3.5,,1770,13953,11258,2695,6781,7172,706,538,482,451,772,1485,1729,1433,1170,876,825,878,674,526,431,356,271,212,138,8505,3702,489,1199,0,49,9
632_immo,allmendstr.,1,,3014,bern,2.0,55,1490,13953,11258,2695,6781,7172,706,538,482,451,772,1485,1729,1433,1170,876,825,878,674,526,431,356,271,212,138,8505,3702,489,1199,0,49,9
164_flat,allmendstr.,10,,4123,allschwil,1.0,32,900,21374,15295,6079,10324,11050,1182,1038,964,855,910,1192,1430,1602,1557,1533,1524,1476,1294,1077,1109,1022,793,550,266,9024,9010,1207,2060,4,62,7
175_flat,allmendstr.,8,,4123,allschwil,4.0,90,1990,21374,15295,6079,10324,11050,1182,1038,964,855,910,1192,1430,1602,1557,1533,1524,1476,1294,1077,1109,1022,793,550,266,9024,9010,1207,2060,4,62,7
76_flat,allschwilerplatz,11,,4055,basel,3.0,78,1590,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1698_immo,allschwilerstr.,2,,4055,basel,3.5,108,1999,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1184_immo,allschwilerstr.,38,,4055,basel,1.0,56,1130,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1877_immo,allschwilerstr.,61,,4055,basel,3.0,65,1660,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
382_flat,allschwilerstr.,2,,4104,oberwil,3.0,74,1585,11104,8476,2628,5339,5765,493,562,603,577,519,499,520,668,758,799,941,883,698,604,612,541,427,237,163,4491,5020,606,958,2,25,2
1632_home,allschwilerstr.,31,,4055,basel,2.5,58,1310,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1695_home,allschwilerstr.,2,,4055,basel,4.5,118,2060,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1698_home,allschwilerstr.,106,,4055,basel,4.0,111,2450,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1427_immo,allschwilerstr.,31,,4055,basel,2.5,37,1310,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1464_immo,allschwilerstr.,106,,4055,basel,3.5,81,2150,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
1618_home,allschwilerstr.,38,,4055,basel,2.0,50,1131,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
703_flat,alpenblickstr.,16,,3052,zollikofen,3.0,87,1430,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
759_flat,alpenstr.,59,,3052,zollikofen,4.5,105,2040,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
589_flat,alpenstr.,35,,3084,wabern,5.5,152,4600,8120,6642,1478,3909,4211,480,413,320,300,407,622,724,665,585,544,555,514,436,357,399,354,217,144,84,4031,3057,349,657,1,24,1
483_flat,alpenstr.,121,,3052,zollikofen,3.0,67,1490,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
420_flat,alpenstr.,111,,3052,zollikofen,4.0,86,1870,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
486_flat,alpenstr.,103,,3052,zollikofen,4.5,105,1930,11791,8709,3082,5705,6086,638,598,553,610,661,689,812,822,797,774,873,812,661,599,595,496,356,275,170,5163,4886,661,1047,0,25,8
