Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF],Preis/Fläche [CHF/m2]
Neuweilerstr. 27,4054,Basel,1.5,40.0,1030.0,25.75
Martinskirchplatz 15,4051,Basel,5.5,240.0,4750.0,19.79
Reinacherstr. 136,4053,Basel,2,,1220.0,
Rennweg 51,4052,Basel,7,180.0,4800.0,26.67
Metzerstr. 10,4056,Basel,3,60.0,1280.0,21.33
St. Jakobs-Str. 53,4052,Basel,3.5,78.0,1490.0,19.1
Schwarzwaldallee 171,4058,Basel,4,99.0,2040.0,20.61
Clarahofweg 47,4058,Basel,1,39.0,1265.0,32.44
Claragraben 84,4058,Basel,1.5,40.0,1060.0,26.5
Wiesenstr. 14,4057,Basel,1.5,38.0,880.0,23.16
Holeestr. 159,4054,Basel,3,57.0,1450.0,25.44
Hochstr. 66,4053,Basel,2,40.0,1399.0,34.98
Gundeldingerrain 12 (Tec),4053,Basel,2,47.0,1058.0,22.51
,4058,Basel,3.5,,1600.0,
Drahtzugstr. 67,4057,Basel,3,65.0,1690.0,26.0
Hardstr. 85,4052,Basel,4.5,107.0,2190.0,20.47
St. Jakobs-Str. 112,4052,Basel,3.5,100.0,2110.0,21.1
Adlerstr. 32,4052,Basel,4.5,105.0,1440.0,13.71
Kohlenberg 31,4051,Basel,4,86.0,2340.0,27.21
Lehenmattstr. 141,4052,Basel,3,95.0,2090.0,22.0
Adlerstr. 34,4052,Basel,3.5,85.0,1450.0,17.06
Hochstr. 66,4053,Basel,2.5,51.0,1600.0,31.37
Metzerstr.,4056,Basel,3,60.0,1180.0,19.67
Riehenring 173,4058,Basel,5,119.0,2670.0,22.44
Kanonengasse 18,4051,Basel,2.5,65.0,1660.0,25.54
Gellertstr. 175,4052,Basel,4.5,104.0,2040.0,19.62
Lehenmattstr. 284,4052,Basel,3.5,92.0,2070.0,22.5
Lehenmattstr. 284,4052,Basel,2.5,65.0,1640.0,25.23
Lehenmattstr. 284,4052,Basel,2.5,65.0,1760.0,27.08
Steinengraben 79,4051,Basel,6,144.0,2620.0,18.19
Metzerstr. 32,4056,Basel,3,89.0,2165.0,24.33
Gellertstr. 97,4052,Basel,3.5,134.0,3360.0,25.07
Steinengraben 77,4051,Basel,2,63.0,1750.0,27.78
Laufenstr. 22,4053,Basel,3,62.0,1740.0,28.06
Feldbergstr. 23,4057,Basel,1.5,,1140.0,
Riehentorstr. 33,4058,Basel,2,62.0,1290.0,20.81
Spalenberg 10,4051,Basel,3.5,135.0,3500.0,25.93
Clarahofweg 47,4058,Basel,3.5,109.0,2890.0,26.51
Clarahofweg 47,4058,Basel,3.5,90.0,2490.0,27.67
Sarnerstr. 2,4055,Basel,2,,1265.0,
Klingelbergstr.,4056,Basel,2.5,80.0,1450.0,18.12
Güterstr. 177,4053,Basel,1,34.0,995.0,29.26
Ziegelstr. 10,4055,Basel,,23.0,650.0,28.26
Spalenvorstadt 37,4051,Basel,2,50.0,1230.0,24.6
Bruderholzstr. 40,4053,Basel,3,74.0,1580.0,21.35
Missionsstr. 3,4055,Basel,5.5,165.0,4400.0,26.67
Voltastr. 123,4056,Basel,2.5,63.0,1900.0,30.16
Voltastr. 123,4056,Basel,2.5,63.0,1910.0,30.32
Hasenmattstr. 3,4059,Basel,3.5,140.0,2470.0,17.64
Leonhardsgraben 8,4051,Basel,1.5,40.0,1315.0,32.88
Utengasse 35,4058,Basel,3,73.0,1430.0,19.59
Mülhauserstr. 123,4056,Basel,5.5,129.0,2800.0,21.71
Oberwilerstr. 159,4054,Basel,3,91.0,1889.0,20.76
St. Johanns-Ring 141,4056,Basel,3,65.0,1380.0,21.23
Schweizergasse 13A,4054,Basel,2,47.0,1365.0,29.04
Zürcherstr. 111,4052,Basel,3.5,75.0,1690.0,22.53
Riehenstr. 165,4058,Basel,2,52.0,1240.0,23.85
Pilgerstr.,4055,Basel,2.5,65.0,1340.0,20.62
Lehenmattstr. 322,4052,Basel,4,78.0,1650.0,21.15
Allmendstr.,4058,Basel,4.5,101.0,3940.0,39.01
Hebelstr. 82,4056,Basel,2.5,52.0,1500.0,28.85
Lehenmattstr. 55,4052,Basel,2,47.0,1215.0,25.85
,4055,Basel,4,,2100.0,
Claragraben 138,4057,Basel,3,73.0,1720.0,23.56
St. Jakobsstr. 187,4052,Basel,3.5,71.0,1885.0,26.55
St. Jakobsstr. 193,4052,Basel,3.5,75.0,2035.0,27.13
,4051,Basel,1,37.0,1260.0,34.05
Markircherstr. 52,4055,Basel,4,76.0,1780.0,23.42
Lehenmattstr. 201,4052,Basel,2,47.0,1240.0,26.38
Spalenring 95,4055,Basel,3.5,80.0,1660.0,20.75
Oberalpstr. 113,4054,Basel,4,85.0,1740.0,20.47
Delsbergerallee 7,4053,Basel,2.5,66.0,1375.0,20.83
Altrheinweg 44,4057,Basel,2.5,48.0,1450.0,30.21
St. Alban-Ring 152,4052,Basel,4,110.0,2230.0,20.27
Wettsteinallee 96,4058,Basel,2,,1230.0,
Gundeldingerstr. 105,4053,Basel,3,65.0,1590.0,24.46
,4058,Basel,3.5,115.0,2980.0,25.91
,4054,Basel,3,70.0,1550.0,22.14
,4054,Basel,1,35.0,790.0,22.57
,4056,Basel,1.5,35.0,1150.0,32.86
Beim Goldenen Löwen 9,4052,Basel,3,76.0,1790.0,23.55
Farnsburgerstr. 37,4052,Basel,3,60.0,1500.0,25.0
Maulbeerstr. 14,4058,Basel,3,75.0,1815.0,24.2
Horburgstr. 86,4057,Basel,2,45.0,1290.0,28.67
Klingentalgraben 7,4057,Basel,4.5,122.0,1800.0,14.75
Klingentalgraben 7,4057,Basel,4,97.0,1700.0,17.53
Horburgstr. 86,4057,Basel,2,45.0,1190.0,26.44
,4057,Basel,2,55.0,1420.0,25.82
Missionsstr. 61,4055,Basel,3,71.0,1480.0,20.85
Missionsstr. 61,4055,Basel,3,71.0,1600.0,22.54
Sevogelstr. 19,4052,Basel,3,79.0,1700.0,21.52
Feldbergstr. 137,4057,Basel,2.5,48.0,1410.0,29.38
Feldbergstr. 137,4057,Basel,1,27.0,1030.0,38.15
Dornacherstr. 109,4053,Basel,1,36.0,1030.0,28.61
Holbeinstr. 56,4051,Basel,2.5,89.0,2770.0,31.12
Claragraben 82,4058,Basel,3,77.0,1470.0,19.09
Wiesenstr. 14,4057,Basel,1.5,42.0,1050.0,25.0
Markircherstr. 22,4055,Basel,2,51.0,1220.0,23.92
Lehenmattstr. 324,4052,Basel,2,52.0,1045.0,20.1
Baldeggerstr. 58,4052,Basel,3,89.0,2230.0,25.06
Clarahofweg 47,4058,Basel,1.5,62.0,1590.0,25.65
Steinengraben 67,4051,Basel,3,64.0,1590.0,24.84
Kleinhüningerstr. 136,4057,Basel,3.5,,1280.0,
Ryffstr. 50,4056,Basel,1,30.0,970.0,32.33
Elsässerstr. 107,4056,Basel,2,45.0,1370.0,30.44
Liestaleranlage 30,4052,Basel,2.5,75.0,1570.0,20.93
Oberwilerstr. 159,4054,Basel,3,91.0,1910.0,20.99
St. Jakobsstr. 193,4052,Basel,3.5,72.0,2209.0,30.68
Redingstr.,4052,Basel,3.5,98.0,2325.0,23.72
Gasstr. 71,4056,Basel,2,64.0,1305.0,20.39
Kapellenstr. 37,4052,Basel,3,85.0,1685.0,19.82
Schützengraben 7,4051,Basel,2.5,58.0,1590.0,27.41
Erlenstr. 34,4058,Basel,3,56.0,1390.0,24.82
St. Jakobsstr. 193,4052,Basel,3.5,72.0,1940.0,26.94
Hammerstr. 183,4057,Basel,3.5,72.0,1740.0,24.17
In Den Klostermatten 17,4052,Basel,3,70.0,1510.0,21.57
Rosentalstr. 32,4058,Basel,2,54.0,1180.0,21.85
Mülhauserstr. 30,4056,Basel,3,,1531.0,
Ryffstr. 12,4056,Basel,3,67.0,1625.0,24.25
Eulerstr. 64,4051,Basel,2.5,65.0,1770.0,27.23
Eisenbahnweg 10,4058,Basel,3,70.0,1640.0,23.43
Sennheimerstr. 54,4054,Basel,4.5,89.0,1950.0,21.91
Sennheimerstr. 52,4054,Basel,4.5,80.0,1930.0,24.12
Sevogelstr. 40,4052,Basel,3,79.0,1795.0,22.72
Bechburgerstr. 5,4052,Basel,2,60.0,1540.0,25.67
Breisacherstr. 68,4057,Basel,2,,1490.0,
Markircherstr. 41,4055,Basel,3,68.0,1600.0,23.53
Laufenstr. 41,4053,Basel,1.5,49.0,1320.0,26.94
Bruderholzstr. 74,4053,Basel,3,79.0,1880.0,23.8
Ryffstr. 26,4056,Basel,1,31.0,770.0,24.84
Laufenstr. 41,4053,Basel,1.5,49.0,1340.0,27.35
Tangentenweg 50,4058,Basel,2.5,49.0,1650.0,33.67
Blauensteinerstr. 33,4053,Basel,4.5,108.0,2320.0,21.48
Klybeckstr. 190,4057,Basel,3.5,71.0,1960.0,27.61
Klybeckstr. 190,4057,Basel,1.5,28.0,935.0,33.39
Maulbeerstr. 33,4058,Basel,1.5,45.0,1185.0,26.33
Zürcherstr. 160,4052,Basel,1,54.0,1260.0,23.33
Hiltalingerstr. 5,4057,Basel,2,57.0,1290.0,22.63
Hegenheimerstr. 240,4055,Basel,1,,890.0,
Markircherstr. 56,4055,Basel,3,59.0,1490.0,25.25
Malzgasse 14,4052,Basel,3.5,81.0,2010.0,24.81
Engelgasse 45,4052,Basel,5.5,193.0,6280.0,32.54
,4055,Basel,3.5,88.0,1690.0,19.2
Amerbachstr. 23,4057,Basel,2.5,57.0,1730.0,30.35
Freiburgerstr. 9,4057,Basel,2.5,,1600.0,
Gotthelfstr. 96,4054,Basel,1,34.0,985.0,28.97
Riehenstr. 157,4058,Basel,2.5,64.0,1450.0,22.66
Kraftstr. 16,4056,Basel,2.5,89.0,1660.0,18.65
Dornacherstr. 329,4053,Basel,1,,1100.0,
Laufenburgerstr. 10,4058,Basel,3,75.0,1585.0,21.13
Wasgenring 91,4055,Basel,4,89.0,1720.0,19.33
Hiltalingerstr.5,4057,Basel,2,57.0,1290.0,22.63
Farnsburgerstr. 6,4052,Basel,3.5,85.0,2200.0,25.88
Blochmonterstr. 4,4054,Basel,2.5,80.0,1946.0,24.32
Holeestr. 108,4054,Basel,3,78.0,1735.0,22.24
Hüningerstr. 3,4056,Basel,2.5,78.0,2030.0,26.03
