Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF],Preis/Fläche [CHF/m2]
Bundesplatz 4,6003,Luzern,3,90.0,1880.0,20.89
Seehof 7,6004,Luzern,1.5,32.0,1455.0,45.47
Würzenbachhalde 7,6006,Luzern,3.5,79.0,1710.0,21.65
Bernstr. 57 B,6003,Luzern,3,58.0,1480.0,25.52
Sagenmattstr. 20A,6003,Luzern,3,59.0,1450.0,24.58
Gibraltarstr. 13,6003,Luzern,1,,1100.0,
Blattenmoosstr. 2,6014,Luzern,3,50.0,1540.0,30.8
Blattenmoosstr. 2,6014,Luzern,1,25.0,700.0,28.0
Geissensteinring 51,6005,Luzern,2.5,50.0,2270.0,45.4
Sagenmattstr. 20,6003,Luzern,3.5,106.0,1780.0,16.79
Seefeldstr. 3,6006,Luzern,4.5,140.0,2645.0,18.89
Liebenauweg 6,6006,Luzern,3.5,81.0,2000.0,24.69
Dammstr. 17,6003,Luzern,1,,1100.0,
Dammstr. 17,6003,Luzern,2,,1250.0,
Sagenmattstr. 26,6003,Luzern,4.5,80.0,1470.0,18.38
Dammstr. 17,6003,Luzern,3,80.0,1500.0,18.75
Baselstr. 63,6003,Luzern,4,70.0,1400.0,20.0
Bernstr. 57 A,6003,Luzern,4.5,84.0,1620.0,19.29
Seehof 7,6004,Luzern,1.5,31.0,1435.0,46.29
Sagenmattrain 3,6003,Luzern,4,,1570.0,
Bernstr. 9,6003,Luzern,2.5,40.0,1530.0,38.25
Bernstr. 3,6003,Luzern,2.5,42.0,1660.0,39.52
Sagenmattrain 3,6003,Luzern,4,64.0,1590.0,24.84
Bernstr. 61,6003,Luzern,3,85.0,1520.0,17.88
Brandgässli 9,6004,Luzern,3.5,60.0,6490.0,108.17
Brandgässli 9,6004,Luzern,3.5,75.0,5490.0,73.2
Brandgässli 9,6004,Luzern,3.5,75.0,5690.0,75.87
Brandgässli 9,6004,Luzern,3.5,73.0,5490.0,75.21
Brandgässli 9,6004,Luzern,2,47.0,5490.0,116.81
Brandgässli 9,6004,Luzern,1.5,43.0,5090.0,118.37
Brandgässli 9,6004,Luzern,2,38.0,5190.0,136.58
Brandgässli 9,6004,Luzern,1,22.0,4490.0,204.09
Brandgässli 9,6004,Luzern,1.5,36.0,4990.0,138.61
Brandgässli 9,6004,Luzern,1,19.0,4890.0,257.37
Tribschenstr. 24,6003,Luzern,1,15.0,1090.0,72.67
Zihlmattweg 44,6005,Luzern,2.5,43.0,1690.0,39.3
Zihlmatweg 44,6005,Luzern,1.5,31.0,1290.0,41.61
Zihlmattweg 44,6005,Luzern,1,25.0,1150.0,46.0
Neustadtstr. 16,6003,Luzern,,19.0,1753.0,92.26
Neustadtstr. 16,6003,Luzern,,13.0,1546.0,118.92
Neustadtstr. 16,6003,Luzern,,12.0,1235.0,102.92
