index_scraped,Strasse,Nummer,Letter,Postleitzahl,Ort,Anzahl Zimmer,Flaeche m2,Preis CHF,Total,Schweiz,Ausland,Mann,Frau,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90 und mehr,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetrage-ner Partner-schaft,Aufgelöste Partnerschaft
,ahornstr.,8,,6003,luzern,3.0,,1600,16950,11761,5189,8570,8380,675,446,383,564,1397,2447,2346,1669,1144,998,963,980,791,614,533,392,318,180,110,10712,4239,512,1414,1,62,10
,ahornstr.,3,,4055,basel,3.0,67,1570,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,ahornstr.,3,,4055,basel,3.5,76,1590,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,albertschweitzer-str.,10,,4059,basel,2.0,65,1520,6596,5033,1563,3137,3459,351,479,427,350,275,150,245,364,475,522,531,498,405,376,344,292,218,155,139,2789,2976,373,430,0,27,1
,albertschweitzer-str.,10,,4059,basel,3.0,79,1650,6596,5033,1563,3137,3459,351,479,427,350,275,150,245,364,475,522,531,498,405,376,344,292,218,155,139,2789,2976,373,430,0,27,1
,albisstr.,164,,8038,zuerich,3.0,,1800,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
,albisstr.,161,,8038,zuerich,2.5,65,2620,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
,albisstr.,66,,8038,zuerich,3.5,85,2740,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
,albisstr.,29,,8038,zuerich,2.5,,2000,17497,12497,5000,8333,9164,1057,922,691,623,742,1264,1760,1762,1519,1215,1132,999,860,649,596,596,431,375,304,9408,5686,761,1554,1,79,7
,albrechststr.,10,,8406,winterthur,5.5,,2950,13587,9203,4384,6879,6708,772,755,695,595,898,1240,1311,1196,1020,938,947,875,751,501,402,324,215,109,43,6789,5202,411,1152,1,28,4
,albrechtstr.,6,a,8406,winterthur,1.5,35,1240,13587,9203,4384,6879,6708,772,755,695,595,898,1240,1311,1196,1020,938,947,875,751,501,402,324,215,109,43,6789,5202,411,1152,1,28,4
,albulastr.,42,,8048,zuerich,3.5,100,3249,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
,albulastr.,42,,8048,zuerich,3.5,100,2770,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
,albulastr.,42,,8048,zuerich,3.5,91,3750,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
,albulstr.,34,,8048,zuerich,2.5,63,2700,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
,alemannengasse,42,,4058,basel,2.5,53,2050,25949,15973,9976,12917,13032,1401,1212,1036,988,1187,2099,2639,2512,2015,1573,1655,1609,1395,1203,1092,915,681,442,295,12920,9307,1161,2457,3,92,9
,alemannenstr.,47,,3018,bern,2.5,63,1390,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
,alemannenstr.,43,,3018,bern,3.0,68,1470,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
,alemannenstr.,43,,3018,bern,4.0,,1580,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
,alemannenstr.,46,,3018,bern,3.0,67,1440,17925,11755,6170,8625,9300,952,885,757,690,991,1377,1462,1335,1183,1059,1120,1209,1021,848,793,825,621,487,310,8245,6601,1113,1920,0,39,7
,alleeweg,3,,3006,bern,3.5,,1850,18851,15242,3609,8814,10037,923,956,907,782,756,1161,1349,1518,1376,1332,1365,1408,1162,967,940,793,528,360,268,9414,6760,843,1729,0,91,13
,allmannstr.,16,,8400,winterthur,2.5,66,1790,40541,31889,8652,19923,20618,1972,1774,1706,1554,2258,4048,4257,3338,2832,2529,2738,2590,2036,1640,1453,1299,1073,827,617,21350,13547,1903,3606,1,117,17
,allmannstr.,16,,8400,winterthur,2.5,,1790,40541,31889,8652,19923,20618,1972,1774,1706,1554,2258,4048,4257,3338,2832,2529,2738,2590,2036,1640,1453,1299,1073,827,617,21350,13547,1903,3606,1,117,17
,allmendstr.,7,,3014,bern,3.5,,1650,13953,11258,2695,6781,7172,706,538,482,451,772,1485,1729,1433,1170,876,825,878,674,526,431,356,271,212,138,8505,3702,489,1199,0,49,9
,allmendstr.,7,,3014,bern,3.5,,1770,13953,11258,2695,6781,7172,706,538,482,451,772,1485,1729,1433,1170,876,825,878,674,526,431,356,271,212,138,8505,3702,489,1199,0,49,9
,allmendstr.,1,,3014,bern,2.0,55,1490,13953,11258,2695,6781,7172,706,538,482,451,772,1485,1729,1433,1170,876,825,878,674,526,431,356,271,212,138,8505,3702,489,1199,0,49,9
,allschwilerplatz,11,,4055,basel,3.0,78,1590,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,2,,4055,basel,3.5,108,1999,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,38,,4055,basel,1.0,56,1130,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,61,,4055,basel,3.0,65,1660,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,31,,4055,basel,2.5,58,1310,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,2,,4055,basel,4.5,118,2060,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,106,,4055,basel,4.0,111,2450,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,31,,4055,basel,2.5,37,1310,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,106,,4055,basel,3.5,81,2150,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,allschwilerstr.,38,,4055,basel,2.0,50,1131,21957,13699,8258,10500,11457,1105,1030,821,854,1124,1778,2099,1800,1568,1369,1558,1543,1320,987,913,762,579,471,276,11158,7244,1065,2392,4,84,10
,alpenstr.,23,,3006,bern,1.0,25,1650,18851,15242,3609,8814,10037,923,956,907,782,756,1161,1349,1518,1376,1332,1365,1408,1162,967,940,793,528,360,268,9414,6760,843,1729,0,91,13
,altenbergstr.,80,,3013,bern,2.5,58,1690,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
,altenbergstr.,20,,3013,bern,5.0,,,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
,altenbergstr.,20,,3013,bern,4.0,,,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
,altenbergstr.,18,,3013,bern,3.5,,2390,10971,8928,2043,5320,5651,590,436,325,320,480,1133,1342,1164,932,737,668,585,523,419,339,356,250,228,144,6737,2820,412,948,0,46,8
,altkircherstr.,9,,4054,basel,1.0,30,880,18804,14238,4566,8709,10095,922,893,834,705,780,1113,1422,1368,1320,1228,1316,1446,1291,1037,951,849,574,473,282,8936,7006,938,1846,0,68,10
,altkircherstr.,9,,4054,basel,1.0,27,790,18804,14238,4566,8709,10095,922,893,834,705,780,1113,1422,1368,1320,1228,1316,1446,1291,1037,951,849,574,473,282,8936,7006,938,1846,0,68,10
,altrheinweg,88,,4057,basel,3.0,65,1325,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
,altrheinweg,44,,4057,basel,2.5,48,1450,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
,altrheinweg,44,,4057,basel,2.5,50,1450,27037,13502,13535,13886,13151,1261,1128,1065,1012,1442,2371,2801,2479,2020,1793,1816,1864,1643,1280,1045,809,599,384,225,13762,9248,1098,2802,5,100,19
,altstetterstr.,291,,8047,zuerich,1.0,30,1500,20694,15204,5490,10199,10495,1401,1122,792,566,739,1515,2197,2197,1873,1454,1242,1096,924,802,849,658,574,424,269,11002,6850,890,1811,2,118,21
,altstetterstr.,196,,8048,zuerich,2.0,52,1740,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
,altstetterstr.,198,,8048,zuerich,2.0,52,1820,29427,18910,10517,15040,14387,1623,1171,1025,952,1412,2852,3659,3091,2468,1986,1787,1777,1365,1038,927,841,694,500,259,15729,9650,1139,2688,2,185,34
,altwiesenstr.,154,,8051,zuerich,3.0,61,1065,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
,altwiesenstr.,91,,8051,zuerich,3.0,64,1773,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
,altwiesenstr.,133,,8051,zuerich,3.0,63,1790,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
,altwiesenstr.,95,,8051,zuerich,3.0,64,1727,22582,13610,8972,11159,11423,1290,1151,952,928,1417,2166,2292,1894,1722,1419,1384,1313,1115,914,758,632,542,403,290,10968,8130,1017,2383,2,67,15
,ambachgraben,40,,4056,basel,1.0,24,440,20921,11730,9191,10331,10590,1049,925,823,733,1180,1826,2213,1935,1665,1400,1386,1407,1123,860,741,590,426,347,292,11195,6756,882,1995,1,83,8
