city,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.5
basel,32.03,29.83,25.54,27.18,23.51,23.88,21.98,24.08,23.68,28.12,23.93,33.62,24.88,21.47,
bern,32.37,34.48,28.7,25.41,24.01,23.72,23.29,24.26,24.19,24.82,,27.07,23.3,23.36,
luzern,45.62,44.03,29.59,31.56,23.01,25.84,22.07,26.19,29.33,22.28,,,,60.9,34.29
winterthur,33.2,30.79,26.78,26.33,24.23,24.53,20.72,21.51,19.74,22.2,,21.75,,21.19,
zuerich,56.29,52.07,43.52,41.62,32.89,38.19,35.74,32.08,28.86,28.1,50.48,47.7,29.56,,
